GenomeStart 33243
Neuron 1 1 0.00000000 1 0.00000000 0.00000000 0.00000000 0.00000000
Neuron 2 1 0.00000000 1 0.00000000 0.00000000 0.00000000 0.00000000
Neuron 3 1 0.00000000 1 0.00000000 0.00000000 0.00000000 0.00000000
Neuron 4 1 0.00000000 1 0.00000000 0.00000000 0.00000000 0.00000000
Neuron 5 1 0.00000000 1 0.00000000 0.00000000 0.00000000 0.00000000
Neuron 6 1 0.00000000 1 0.00000000 0.00000000 0.00000000 0.00000000
Neuron 7 1 0.00000000 1 0.00000000 0.00000000 0.00000000 0.00000000
Neuron 8 1 0.00000000 1 0.00000000 0.00000000 0.00000000 0.00000000
Neuron 9 2 0.00000000 1 0.00000000 0.00000000 0.00000000 0.00000000
Neuron 10 4 1.00000000 0 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 11 4 1.00000000 0 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 12 4 1.00000000 0 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 13 4 1.00000000 0 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 14 4 1.00000000 0 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 15 4 1.00000000 0 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 16 4 1.00000000 0 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 20 3 0.50000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 24 3 0.50000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 28 3 0.50000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 34 3 0.50000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 36 3 0.50000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 51 3 0.50000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 55 3 0.50000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 59 3 0.50000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 64 3 0.50000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 70 3 0.75000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 78 3 0.50000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 82 3 0.87500000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 89 3 0.25000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 109 3 0.25000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 215 3 0.25000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 228 3 0.75000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 241 3 0.75000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 245 3 0.25000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 326 3 0.50000000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 359 3 0.37500000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 390 3 0.18750000 1 1.00000000 0.00000000 0.00000000 0.00000000
Neuron 460 3 0.12500000 1 1.00000000 0.00000000 0.00000000 0.00000000
Link 1 10 1 0 -1.14659813
Link 2 10 2 0 1.33277962
Link 3 10 3 0 0.78534643
Link 4 10 4 0 -2.88292539
Link 5 10 5 0 0.14208332
Link 8 10 8 0 2.45797264
Link 9 10 9 0 -1.02084600
Link 1 11 10 0 -5.07729244
Link 2 11 11 0 -2.62567032
Link 3 11 12 0 -2.18388262
Link 4 11 13 0 -0.44057818
Link 5 11 14 0 -2.70235950
Link 6 11 15 0 3.27576771
Link 8 11 17 0 -2.99023493
Link 9 11 18 0 -1.99632068
Link 1 12 19 0 -2.47821345
Link 3 12 21 0 0.86860744
Link 4 12 22 0 2.63055496
Link 5 12 23 0 2.88852751
Link 7 12 25 0 -0.15411949
Link 9 12 27 0 -0.37918452
Link 1 13 28 0 1.65136040
Link 2 13 29 0 -0.67332839
Link 3 13 30 0 3.59887177
Link 4 13 31 0 -2.45957281
Link 6 13 33 0 2.67507928
Link 7 13 34 0 3.12494050
Link 8 13 35 0 4.49053178
Link 9 13 36 0 -0.08719519
Link 1 14 37 0 0.59358160
Link 2 14 38 0 0.90328505
Link 4 14 40 0 1.52767306
Link 5 14 41 0 -1.23415185
Link 9 14 45 0 1.28181813
Link 1 15 46 0 0.09879433
Link 3 15 48 0 -0.96209814
Link 4 15 49 0 1.15892791
Link 5 15 50 0 -1.60579871
Link 6 15 51 0 1.33166639
Link 7 15 52 0 -1.88127380
Link 8 15 53 0 1.78430052
Link 9 15 54 0 3.07453911
Link 1 16 55 0 -1.86821422
Link 2 16 56 0 0.38464456
Link 3 16 57 0 -2.24865790
Link 4 16 58 0 -2.62313202
Link 5 16 59 0 -3.50407198
Link 6 16 60 0 0.69267232
Link 9 16 63 0 -0.71279264
Link 7 24 86 0 1.16183788
Link 24 11 87 0 0.29077672
Link 28 12 99 0 -0.38194255
Link 34 10 117 0 -0.71163204
Link 36 15 123 0 -0.01610900
Link 8 51 170 0 1.75828409
Link 51 10 171 0 1.80581050
Link 5 55 197 0 2.16296999
Link 55 13 198 0 -0.30769963
Link 3 59 225 0 1.06557909
Link 59 12 226 0 -1.95002471
Link 8 64 248 0 -1.27800270
Link 20 70 295 0 0.76541789
Link 6 51 308 0 -5.60930555
Link 4 20 313 0 1.23889547
Link 3 78 350 0 1.32753896
Link 78 14 351 0 0.96907868
Link 70 82 399 0 1.79192468
Link 82 12 400 0 1.30217168
Link 6 89 436 0 0.26684384
Link 89 20 437 0 0.54277145
Link 14 36 473 1 1.08584012
Link 7 51 609 0 0.21780906
Link 2 109 661 0 -0.31185672
Link 109 36 662 0 2.77717601
Link 36 13 696 0 0.45055670
Link 13 64 783 1 -2.72447995
Link 5 51 810 0 -1.56033313
Link 6 64 845 0 -0.17771726
Link 20 20 850 1 2.03876426
Link 2 215 1370 0 0.90917103
Link 215 28 1371 0 1.12131107
Link 64 228 1463 0 0.78999726
Link 228 14 1464 0 -1.53007789
Link 20 241 1601 0 1.33341168
Link 241 14 1602 0 0.10146431
Link 4 34 1637 0 -1.59539142
Link 245 34 1647 0 1.28089697
Link 10 89 1987 1 1.29534187
Link 89 70 2076 0 -1.33768872
