generation;index;fitness
0;0;(-9.97308479492528,)
0;1;(-110.70081514293162,)
0;2;(-5.087660250646406,)
0;3;(5.703854941251948,)
0;4;(-2.605171729991689,)
0;5;(-1.6086745508335092,)
0;6;(-6.7459163435599905,)
0;7;(5.035034239591317,)
0;8;(-2.683209195335714,)
0;9;(0.7633007184591236,)
0;10;(-1.1034008143134184,)
0;11;(-5.264030480424111,)
0;12;(-4.737678739955901,)
0;13;(-1.430047245691428,)
0;14;(2.9384154854733713,)
0;15;(-4.143106331235436,)
0;16;(-4.086190747132248,)
0;17;(-3.5913482473800906,)
0;18;(-5.331158730711362,)
0;19;(-4.535486206868181,)
0;20;(-121.99947998814734,)
0;21;(-2.654188662242091,)
0;22;(-3.94009492737374,)
0;23;(-4.139163678929384,)
0;24;(-2.280644170256224,)
0;25;(-7.876706181460746,)
0;26;(-5.433247027041191,)
0;27;(-4.88658088505939,)
0;28;(-4.153165714519484,)
0;29;(1.358373036600537,)
0;30;(-0.6366041695700595,)
0;31;(-1.1398433312261476,)
0;32;(6.94262220266883,)
0;33;(-4.146986800890003,)
0;34;(-3.4167242693724518,)
0;35;(-2.7931184867016086,)
0;36;(-4.0474254226720605,)
0;37;(13.178389412763728,)
0;38;(-4.872856290674054,)
0;39;(-2.739765130850129,)
0;40;(-3.180892361582546,)
0;41;(-15.780202428598836,)
0;42;(-4.166115190238354,)
0;43;(0.23983595854926554,)
0;44;(-2.8361506678319133,)
0;45;(-4.893435086748225,)
0;46;(13.208459528447575,)
0;47;(-18.11082990808684,)
0;48;(-7.92753230002587,)
0;49;(-7.708260446933543,)
0;50;(-0.6034461130513995,)
0;51;(-5.482507861557037,)
0;52;(-4.700415948941923,)
0;53;(-2.8028249136823296,)
0;54;(-3.724615571363594,)
0;55;(-10.29544920723048,)
0;56;(-6.442668644392126,)
0;57;(-8.507446462882893,)
0;58;(0.6859500097663047,)
0;59;(-1.77089859761938,)
0;60;(-104.74750390070881,)
0;61;(-6.160597652258176,)
0;62;(-4.380073074184399,)
0;63;(-2.9887636222376566,)
0;64;(-4.9497451941840245,)
0;65;(-1.6693904166286337,)
0;66;(3.391488345120414,)
0;67;(-70.08061979781286,)
0;68;(-1.1965261820034079,)
0;69;(-1.1485778432854434,)
0;70;(-3.8746623734753833,)
0;71;(-4.099946054268994,)
0;72;(-147.99819430455221,)
0;73;(-2.5814955003848437,)
0;74;(-3.801767009325845,)
0;75;(0.41628090024857123,)
0;76;(-3.0769518520538535,)
0;77;(-3.019119809490529,)
0;78;(-1.660638400229676,)
0;79;(-4.104997377260309,)
0;80;(-4.589415534617723,)
0;81;(-114.17073671408376,)
0;82;(-4.207287778243364,)
0;83;(-13.120592682040826,)
0;84;(2.0837021243961154,)
0;85;(-3.1519345905245544,)
0;86;(-4.4153455009833396,)
0;87;(-3.5550165392816675,)
0;88;(-151.533057774307,)
0;89;(-3.8437506573119893,)
0;90;(-3.9295989429777674,)
0;91;(-11.075250689340994,)
0;92;(-3.9644557600287156,)
0;93;(1.2450626398341316,)
0;94;(-11.755032822994695,)
0;95;(-3.6741585448094063,)
0;96;(-7.206056916613141,)
0;97;(-3.4530784931414225,)
0;98;(0.11828676195281118,)
0;99;(-1.4616214995846006,)
0;100;(-52.68203565288589,)
0;101;(-27.04258452351887,)
0;102;(6.19481802047083,)
0;103;(-3.086123630918773,)
0;104;(-3.7881218608818097,)
0;105;(-2.06977842475622,)
0;106;(-0.5682605845324602,)
0;107;(-2.236414012669348,)
0;108;(0.6974189909123032,)
0;109;(10.334696795890977,)
0;110;(-2.977571534200874,)
0;111;(-3.6617313328121117,)
0;112;(-0.7182937308418058,)
0;113;(-5.178670122732269,)
0;114;(-4.922246846431048,)
0;115;(-170.41894714736145,)
0;116;(-3.479378792060145,)
0;117;(8.331135924958879,)
0;118;(9.081939659575221,)
0;119;(5.933645997629483,)
1;0;(-1.684061619289924,)
1;1;(-3.132656977690253,)
1;2;(-1.1485778432854434,)
1;3;(11.85049225235091,)
1;4;(-129.39486308875615,)
1;5;(-3.00619243208007,)
1;6;(4.964808202490361,)
1;7;(10.042680666946186,)
1;8;(3.351960798366507,)
1;9;(-3.907705729097108,)
