Time,Universal_Angle_1_0,Universal_Angle_2_0,Universal_Angle_1_1,Universal_Angle_2_1,Universal_Angle_1_2,Universal_Angle_2_2,Universal_Angle_1_3,Universal_Angle_2_3,Universal_Angle_1_4,Universal_Angle_2_4,Universal_Angle_1_5,Universal_Angle_2_5,Universal_Angle_1_6,Universal_Angle_2_6,Universal_Angle_1_7,Universal_Angle_2_7,Universal_Angle_1_8,Universal_Angle_2_8,Universal_Angle_1_9,Universal_Angle_2_9,Universal_Angle_1_10,Universal_Angle_2_10,Universal_Angle_1_11,Universal_Angle_2_11,Universal_Angle_1_12,Universal_Angle_2_12,Universal_Angle_1_13,Universal_Angle_2_13,Universal_Angle_1_14,Universal_Angle_2_14,Universal_Angle_1_15,Universal_Angle_2_15
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
3.5,-1.8010222387e-05,-0.593656106922,-1.21715208451e-05,-0.55713254815,1.53203424435e-05,-0.490672332757,1.47404410317e-05,-0.448110226878,-4.08959898855e-06,-0.458155167735,-1.41896481286e-05,-0.519633229216,-1.46745348425e-06,-0.600392205497,2.12133394325e-05,0.427649971646,1.63300115695e-05,0.195979408099,8.98362816457e-06,-0.113997728664,1.75544675699e-07,-0.329371278631,-4.81432975302e-06,-0.155226283852,-7.3384673863e-06,0.158730905724,-8.27486775935e-06,0.40939762335,-6.89373690228e-06,0.537735902526,-2.74055376962e-06,0.238940037813
9.14,-4.12466241745e-05,-0.610148041859,-5.60578536798e-05,-0.583238485103,0.00011667705321,-0.511587590417,4.06025122446e-05,-0.456577132026,-8.95934529469e-05,-0.455843924698,-5.15347619131e-05,-0.515503704816,5.02384809069e-05,-0.610026433839,0.00018074190633,0.401572435465,3.20751266041e-05,0.35612500719,1.5946488715e-06,0.0419888646366,-1.77284721491e-05,-0.256386293229,-1.41687767759e-05,-0.464769635766,-2.5094941538e-05,-0.270325951957,-3.09460419956e-05,0.0747193359562,-2.69448394406e-05,0.390660542599,-1.4662319188e-05,0.457164789397
0.76,-1.62099303684e-06,-0.537043997723,-1.32893503403e-06,-0.488510362214,3.2271482102e-06,-0.45165605409,4.06382183745e-06,-0.447293915839,1.75316015983e-06,-0.480332154429,1.46951300259e-07,-0.539069766278,3.00773682676e-06,-0.591287541699,9.67640389417e-06,0.47378897884,2.1885349337e-05,-0.0475509734677,1.50186361313e-05,-0.0505534423814,7.08387417e-06,-0.0491223203946,9.91903241871e-08,-0.0432835785169,-4.27924249201e-06,-0.0339291306645,-5.42987144993e-06,-0.0227275233759,-3.94115996127e-06,-0.011740136032,-1.38944393039e-06,-0.003361482332
7.04,-9.47087978704e-06,-0.58588644997,-2.97591654342e-05,-0.560688471722,4.83013927127e-05,-0.509056870694,2.21146208301e-05,-0.469070638809,-3.84725824354e-05,-0.464850576274,-2.43641373961e-05,-0.500028539256,4.37754046385e-05,-0.554859356643,3.96463070091e-05,0.492099106387,1.57135953894e-05,0.0446289331362,-3.89781093399e-06,0.323541217898,-1.72453085315e-05,0.178782226009,-1.64430704317e-05,-0.136093291121,-1.74868243779e-05,-0.418488154185,-1.84567335993e-05,-0.54043601295,-1.609014337e-05,-0.273467311883,-7.16809050782e-06,0.150564439366
8.2,-1.72716916022e-05,-0.577015444291,-4.32558306436e-05,-0.551359165152,7.41283489594e-05,-0.507399199219,2.77020857694e-05,-0.474530012072,-6.15571668679e-05,-0.470251158956,-3.27815510545e-05,-0.495170842351,6.55818707556e-05,-0.531834011358,4.79024123947e-05,0.529570455695,3.76398595865e-05,-0.1159601573,-2.46774141967e-06,0.225383205509,-3.29910571691e-05,0.333475620275,-4.09642031567e-05,0.0344461511952,-4.6579486571e-05,-0.280920762362,-4.87349983561e-05,-0.534576504013,-3.94895964591e-05,-0.4761570118,-1.50604226309e-05,-0.0614664464975
7.62,-1.25643428299e-05,-0.581694199673,-3.59011574612e-05,-0.556250979508,5.97318661583e-05,-0.50821240937,2.48350357534e-05,-0.471581062473,-4.84353575754e-05,-0.467463818427,-2.77279737331e-05,-0.497864783856,5.37369458869e-05,-0.54360982056,4.21823368097e-05,0.511385143562,2.44095017675e-05,-0.0384996841316,-4.11788507249e-06,0.284893406883,-2.43861031206e-05,0.271042556003,-2.65890600717e-05,-0.0567562305401,-2.91416710863e-05,-0.35510313333,-3.04611569815e-05,-0.557532560072,-2.5156115921e-05,-0.388611168693,-1.0209725322e-05,0.0447946252243
3.58,-1.68193160118e-05,-0.579759657591,-1.13674474512e-05,-0.547715145893,1.61824769306e-05,-0.493022282057,1.49818538702e-05,-0.454908303103,-3.95792781726e-06,-0.457673674341,-1.3405955223e-05,-0.507145727487,-9.00303463434e-07,-0.587629288929,2.04007260642e-05,0.415797309538,1.4626627359e-05,0.336595165836,8.4408218939e-06,0.134512555048,8.54402522486e-07,-0.111206620674,-2.98532536515e-06,-0.349366991674,-5.21403739972e-06,-0.245043362313,-6.24652579124e-06,0.00671024194256,-5.36982574883e-06,0.3017308771,-2.09047790624e-06,0.461099195958
2.68,-1.19268692373e-05,-0.543813240643,-7.39041883523e-06,-0.503239630939,9.46385031416e-06,-0.470110939732,9.01603679997e-06,-0.461965880732,-3.00002004177e-06,-0.482658679407,-9.94073773026e-06,-0.522206970195,-7.82174956007e-07,-0.557674261527,1.70236009562e-05,0.507223855254,1.80638822657e-05,-0.000116527445421,1.07182986473e-05,2.94529531874e-05,3.10006305029e-06,0.000155447104291,-3.1030700697e-06,0.000246519163468,-6.53495118444e-06,0.00102861466277,-6.79640873253e-06,0.00114443445147,-4.5989273112e-06,0.000505154693523,-1.57227882483e-06,7.96503839224e-05
6.1,-1.46860298416e-05,-0.54787759201,-2.65008087758e-05,-0.524310095689,3.40316116516e-05,-0.507687226632,1.84423812585e-05,-0.495732535535,-3.1707294277e-05,-0.483650593672,-2.90842667766e-05,-0.474195058649,2.60214032472e-05,-0.476163213967,4.29317283967e-05,0.583244186684,1.0267979353e-05,-0.352154316174,3.07630218871e-07,-0.204135831483,-6.2502709717e-06,0.0694461858855,-4.20032306833e-06,0.347277784562,-5.55553798067e-06,0.326387318353,-8.19032964069e-06,0.0603994340982,-9.86744157255e-06,-0.252078390737,-4.99783385329e-06,-0.466570263247
