Time,Universal_Angle_1_0,Universal_Angle_2_0,Universal_Angle_1_1,Universal_Angle_2_1,Universal_Angle_1_2,Universal_Angle_2_2,Universal_Angle_1_3,Universal_Angle_2_3,Universal_Angle_1_4,Universal_Angle_2_4,Universal_Angle_1_5,Universal_Angle_2_5,Universal_Angle_1_6,Universal_Angle_2_6,Universal_Angle_1_7,Universal_Angle_2_7,Universal_Angle_1_8,Universal_Angle_2_8,Universal_Angle_1_9,Universal_Angle_2_9,Universal_Angle_1_10,Universal_Angle_2_10,Universal_Angle_1_11,Universal_Angle_2_11,Universal_Angle_1_12,Universal_Angle_2_12,Universal_Angle_1_13,Universal_Angle_2_13,Universal_Angle_1_14,Universal_Angle_2_14,Universal_Angle_1_15,Universal_Angle_2_15
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
3.5,-1.80098220885e-05,-0.593638186113,-1.21711154335e-05,-0.557118226065,1.53198991471e-05,-0.49067748796,1.47388221362e-05,-0.448127856627,-4.09206775371e-06,-0.45816442697,-1.41919487489e-05,-0.519615148513,-1.46875416627e-06,-0.600347636105,2.12135664766e-05,0.4276823097,1.63261428751e-05,0.19589413662,8.97711833586e-06,-0.114073617862,1.73286615883e-07,-0.329400090993,-4.81059343223e-06,-0.15490901958,-7.33594941147e-06,0.158972683888,-8.27611492224e-06,0.409819709032,-6.89565076384e-06,0.537769855459,-2.74028491346e-06,0.237930090082
9.14,-4.12094728949e-05,-0.610152948273,-5.60609669493e-05,-0.583241552476,0.00011663040114,-0.511586714523,4.05901307857e-05,-0.456574443722,-8.95586414085e-05,-0.455844555378,-5.15052642238e-05,-0.515508894953,5.02336442789e-05,-0.610028034775,0.000180716812658,0.40158856972,3.19110859896e-05,0.356240744678,1.56176654945e-06,0.0418336914795,-1.76687950516e-05,-0.256682193451,-1.41001682301e-05,-0.465026943762,-2.50599955267e-05,-0.269908062386,-3.08883969554e-05,0.0753702199269,-2.68986769904e-05,0.391428756686,-1.46265330801e-05,0.457028671359
0.76,-1.62099303684e-06,-0.537043997723,-1.32893503403e-06,-0.488510362214,3.2271482102e-06,-0.45165605409,4.06382183745e-06,-0.447293915839,1.75316015983e-06,-0.480332154429,1.46951300259e-07,-0.539069766278,3.00773682676e-06,-0.591287541699,9.67640389417e-06,0.47378897884,2.1885349337e-05,-0.0475509734677,1.50186361313e-05,-0.0505534423814,7.08387417e-06,-0.0491223203946,9.91903241871e-08,-0.0432835785169,-4.27924249201e-06,-0.0339291306645,-5.42987144993e-06,-0.0227275233759,-3.94115996127e-06,-0.011740136032,-1.38944393039e-06,-0.003361482332
7.04,-9.46038098366e-06,-0.58587817424,-2.97598448654e-05,-0.560683227227,4.82884345975e-05,-0.509058002638,2.21119685019e-05,-0.469075370356,-3.84611275484e-05,-0.464850991356,-2.43540337553e-05,-0.500020762894,4.37614486744e-05,-0.554850200532,3.96285843076e-05,0.492092341449,1.56434550061e-05,0.0446723424204,-3.9109661686e-06,0.32370270444,-1.72017276257e-05,0.178504780835,-1.63778387825e-05,-0.136407205414,-1.74192786116e-05,-0.418777549993,-1.83883474086e-05,-0.540280321056,-1.60374625904e-05,-0.272416574055,-7.14811900435e-06,0.151573630012
8.2,-1.72970279968e-05,-0.576994638119,-4.32669400909e-05,-0.551344610031,7.41126226573e-05,-0.507404101114,2.77006013014e-05,-0.474543029086,-6.15518963641e-05,-0.470253428128,-3.28040216771e-05,-0.495153362151,6.54996308157e-05,-0.531810125902,4.78201582438e-05,0.529566649421,3.74915808087e-05,-0.115958198519,-2.50418587932e-06,0.225506851444,-3.29155392298e-05,0.333495509462,-4.08418331483e-05,0.0343120680864,-4.6442802517e-05,-0.281155563295,-4.85829594082e-05,-0.534811217921,-3.93542591023e-05,-0.475634016078,-1.50036328307e-05,-0.0604282285305
7.62,-1.25507737245e-05,-0.581674404289,-3.59028324886e-05,-0.556237349506,5.97122638253e-05,-0.508216952944,2.48309819609e-05,-0.471593674391,-4.84176539141e-05,-0.467465867021,-2.77122407804e-05,-0.497847095436,5.37166919061e-05,-0.54358490352,4.2154609827e-05,0.51138632399,2.43045077034e-05,-0.0384877963712,-4.14145944916e-06,0.285030578892,-2.43265555488e-05,0.27092418894,-2.64991373255e-05,-0.0569882750509,-2.90449640651e-05,-0.355280860099,-3.03562691412e-05,-0.557572751451,-2.50678047624e-05,-0.387817298536,-1.01746561679e-05,0.04582611633
3.58,-1.68192120325e-05,-0.579777382464,-1.13684037487e-05,-0.547731690415,1.61817551879e-05,-0.493025344504,1.49818499495e-05,-0.454902767228,-3.95752128763e-06,-0.457671403337,-1.34058267526e-05,-0.507152266886,-9.01201066529e-07,-0.587634649694,2.03992759783e-05,0.415810470821,1.46246684568e-05,0.336723916552,8.43877062216e-06,0.134464587066,8.55624602985e-07,-0.111362347618,-2.98089727849e-06,-0.349548017122,-5.21298916243e-06,-0.244730366469,-6.24920385293e-06,0.00725158429583,-5.37215804048e-06,0.302589247003,-2.08987802428e-06,0.461100730779
2.68,-1.19268692373e-05,-0.543813240643,-7.39041883523e-06,-0.503239630939,9.46385031416e-06,-0.470110939732,9.01603679997e-06,-0.461965880732,-3.00002004177e-06,-0.482658679407,-9.94073773026e-06,-0.522206970195,-7.82174956007e-07,-0.557674261527,1.70236009562e-05,0.507223855254,1.80638822657e-05,-0.000116527445421,1.07182986473e-05,2.94529531874e-05,3.10006305029e-06,0.000155447104291,-3.1030700697e-06,0.000246519163468,-6.53495118444e-06,0.00102861466277,-6.79640873253e-06,0.00114443445147,-4.5989273112e-06,0.000505154693523,-1.57227882483e-06,7.96503839224e-05
6.1,-1.46678832147e-05,-0.547893015305,-2.64960692503e-05,-0.524327532987,3.40232607499e-05,-0.507689354459,1.84391178403e-05,-0.495722636289,-3.16974189711e-05,-0.483643226224,-2.90697400635e-05,-0.474202935009,2.60220730336e-05,-0.476191735157,4.29153274082e-05,0.583224239146,1.02403008119e-05,-0.352351406098,3.04740722544e-07,-0.204030810543,-6.23119608224e-06,0.0696756249854,-4.17151164473e-06,0.347545622921,-5.5313407459e-06,0.326154017371,-8.17530127001e-06,0.0596815455451,-9.85854627934e-06,-0.252958731456,-4.99252876122e-06,-0.466781886342
