Time,Universal_Angle_1_0,Universal_Angle_2_0,Universal_Angle_1_1,Universal_Angle_2_1,Universal_Angle_1_2,Universal_Angle_2_2,Universal_Angle_1_3,Universal_Angle_2_3,Universal_Angle_1_4,Universal_Angle_2_4,Universal_Angle_1_5,Universal_Angle_2_5,Universal_Angle_1_6,Universal_Angle_2_6,Universal_Angle_1_7,Universal_Angle_2_7
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
3.5,-7.06789929214e-17,0.197507438603,-2.12036978764e-16,0.132396852159,-1.06018489382e-16,0.0785052086092,-7.06789929214e-17,0.0678687164927,-0.0,-0.0972207040913,-0.0,-0.0596234991628,-7.06789929214e-17,-0.0734484009722,-7.06789929214e-17,-0.130858104186
9.14,-1.41357985843e-16,0.177176138536,-7.06789929214e-17,0.231850091585,-7.06789929214e-17,0.240244837232,-1.41357985843e-16,0.195348481905,-7.06789929214e-17,-0.124786351415,-7.06789929214e-17,-0.194917409948,-7.06789929214e-17,-0.237425168594,-1.76697482304e-16,-0.228670559464
0.76,-7.06789929214e-17,0.0724100032439,-7.06789929214e-17,0.061389743484,-1.41357985843e-16,0.100692999885,-1.41357985843e-16,0.16757809113,-1.41357985843e-16,-0.228489882666,-1.76697482304e-16,-0.173519726034,-7.06789929214e-17,-0.106207485363,-7.06789929214e-17,-0.065388575207
7.04,-3.53394964607e-17,0.121865886844,-7.06789929214e-17,0.188866546122,-0.0,0.233285446864,-7.06789929214e-17,0.227425025857,-7.06789929214e-17,-0.182165487022,-0.0,-0.233948940434,-1.41357985843e-16,-0.236745592691,-7.06789929214e-17,-0.189894012717
8.2,-0.0,0.206626646161,-7.06789929214e-17,0.243111868923,-7.06789929214e-17,0.227115924854,-1.41357985843e-16,0.16626853476,-1.76697482304e-16,-0.0937915151601,-1.76697482304e-16,-0.161905564131,-1.06018489382e-16,-0.221203476003,-7.06789929214e-17,-0.238026542355
7.62,-0.0,0.13366617852,-7.06789929214e-17,0.0760872114074,-1.76697482304e-16,0.0615694467544,-7.06789929214e-17,0.0993006619003,-1.06018489382e-16,-0.162685207733,-0.0,-0.0961088819558,-7.06789929214e-17,-0.060872197805,-0.0,-0.0771978190922
3.58,-7.06789929214e-17,0.155758901473,-3.53394964607e-17,0.0915744173247,-0.0,0.0618547966247,-0.0,0.0845114061718,-7.06789929214e-17,-0.139753443233,-7.06789929214e-17,-0.0792601172326,-1.06018489382e-16,-0.0594663860995,-7.06789929214e-17,-0.0918061452435
2.68,-0.0,0.102805603895,-7.06789929214e-17,0.0616289454489,-1.41357985843e-16,0.0713935038384,-7.06789929214e-17,0.126886446361,-1.41357985843e-16,-0.195288543491,-7.06789929214e-17,-0.127481264279,-1.41357985843e-16,-0.0733463771456,-1.41357985843e-16,-0.0640685808891
6.1,-0.0,0.155099313738,-7.06789929214e-17,0.217652552521,-0.0,0.241740365303,-7.06789929214e-17,0.211194794124,-1.41357985843e-16,-0.147790937166,-7.06789929214e-17,-0.213640056477,-1.06018489382e-16,-0.241433693958,-7.06789929214e-17,-0.216135215483
