generation;index;fitness
0;0;(3.1809178707682815,)
0;1;(7.035399961509853,)
0;2;(3.6276920412691602,)
0;3;(3.2667816056822776,)
0;4;(3.278338207353931,)
0;5;(2.745930726222534,)
0;6;(1.2254024989251935,)
0;7;(12.84757075614111,)
0;8;(-13.742527081258107,)
0;9;(6.218698215735283,)
0;10;(14.341395749313289,)
0;11;(-11.123454260268467,)
0;12;(5.987971922659744,)
0;13;(3.1488179361849937,)
0;14;(3.5219445416722674,)
0;15;(10.128606314487097,)
0;16;(18.519829281761396,)
0;17;(3.777373472577528,)
0;18;(1.9885669611642474,)
0;19;(8.108068256838926,)
0;20;(3.5605196757268907,)
0;21;(10.81651842801257,)
0;22;(7.652975137783342,)
0;23;(-1.9256372445211198,)
0;24;(2.819811188463788,)
0;25;(12.67135432467201,)
0;26;(4.041065262893968,)
0;27;(17.67657456958478,)
0;28;(5.9020202814542335,)
0;29;(9.233094422457587,)
0;30;(3.1004411872309117,)
0;31;(4.477469294403889,)
0;32;(8.472665022115446,)
0;33;(2.7915980818335964,)
0;34;(9.151868795458077,)
0;35;(16.546460229469826,)
0;36;(6.3491343573863235,)
0;37;(4.4346231620719525,)
0;38;(3.2237503223444133,)
0;39;(4.166151593745219,)
0;40;(4.105866972264289,)
0;41;(2.7506941479049285,)
0;42;(10.078262789682721,)
0;43;(-1.5320201820203394,)
0;44;(6.981295387154936,)
0;45;(7.305950981740886,)
0;46;(-7.769726632769835,)
0;47;(12.92919079898504,)
0;48;(3.764214889425558,)
0;49;(3.5746865080506876,)
0;50;(3.556132518311623,)
0;51;(5.014708139400928,)
0;52;(12.616336843073464,)
0;53;(7.903602871332212,)
0;54;(8.518406020953444,)
0;55;(6.8933396928930355,)
0;56;(2.9573120168274585,)
0;57;(4.006903439143919,)
0;58;(3.9044646589563268,)
0;59;(1.1788907393056647,)
0;60;(3.03239019088325,)
0;61;(7.392625036869053,)
0;62;(4.365395359331114,)
0;63;(17.126478363360878,)
0;64;(6.423799603139651,)
0;65;(3.257346666138485,)
0;66;(18.337135212044117,)
0;67;(0.3983981696843255,)
0;68;(3.64100071252229,)
0;69;(7.746876322556695,)
0;70;(3.1212545674512437,)
0;71;(4.351151431828164,)
0;72;(16.755586262471695,)
0;73;(1.943673102153431,)
0;74;(7.026622696127596,)
0;75;(14.748047788223932,)
0;76;(3.94978176085087,)
0;77;(3.3647751773821835,)
0;78;(-0.3270738067341732,)
0;79;(2.7865650039332674,)
0;80;(17.567266884472925,)
0;81;(14.530235228352582,)
0;82;(2.6100203487746896,)
0;83;(5.545223155654707,)
0;84;(7.122834976747699,)
0;85;(3.3797927719889564,)
0;86;(3.7975897886507948,)
0;87;(2.3660203881130553,)
0;88;(6.181101505400683,)
0;89;(3.7787450962720843,)
0;90;(5.235421159185263,)
0;91;(14.560951514244445,)
0;92;(1.741244621689047,)
0;93;(1.991205479621879,)
0;94;(7.4006830549642615,)
0;95;(-4.975642079671722,)
0;96;(3.1025799239676584,)
0;97;(3.28297743679952,)
0;98;(5.603409877685713,)
0;99;(9.368528603744469,)
0;100;(-3.1150767624808857,)
0;101;(7.220363970400028,)
0;102;(2.96944550229637,)
0;103;(16.458723730303067,)
0;104;(3.31294400531681,)
0;105;(7.8468416529173695,)
0;106;(19.22342314678587,)
0;107;(1.7670110685563696,)
0;108;(1.836009700912431,)
0;109;(6.004897407033079,)
0;110;(11.123972866370188,)
0;111;(1.1986454208335378,)
0;112;(5.73375103936328,)
0;113;(18.81831036529585,)
0;114;(2.919925513384513,)
0;115;(8.993455758027263,)
0;116;(2.468410818539592,)
0;117;(3.2279849963832916,)
0;118;(4.852755690839649,)
0;119;(5.008011288692579,)
1;0;(17.62296693298641,)
1;1;(12.595350627944612,)
1;2;(6.427744809807441,)
1;3;(11.994677812643877,)
1;4;(5.54527431499028,)
1;5;(13.87561616196968,)
1;6;(18.519829281761396,)
1;7;(12.92919079898504,)
1;8;(14.514537144327935,)
1;9;(4.686142835467079,)
1;10;(13.244113636394939,)
1;11;(5.88172378214585,)
1;12;(17.67657456958478,)
1;13;(11.123972866370188,)
1;14;(3.6229145710670796,)
1;15;(7.848213351113763,)
1;16;(16.66527784763833,)
1;17;(5.964616097757482,)
1;18;(7.338014737689838,)
1;19;(4.806650885141442,)
1;20;(10.305200738832035,)
1;21;(4.095120672159419,)
1;22;(14.540927610797917,)
1;23;(7.434351662509231,)
1;24;(9.48864637810555,)
1;25;(14.748047788223932,)
1;26;(9.37334949849701,)
1;27;(18.519829281761396,)
1;28;(7.903602871332212,)
1;29;(11.123972866370188,)
1;30;(10.408373997466455,)
1;31;(5.402901036392063,)
1;32;(16.755586262471695,)
1;33;(16.546460229469826,)
1;34;(7.7943854046053636,)
1;35;(5.9981634816614475,)
1;36;(7.032678327688297,)
1;37;(7.839398973310159,)
1;38;(7.252904088327356,)
1;39;(8.410303392448185,)
1;40;(3.3940544456720243,)
1;41;(4.125917260016038,)
1;42;(5.450961763379718,)
1;43;(4.900833291802445,)
1;44;(13.652194197307423,)
1;45;(18.413522469901572,)
1;46;(11.989289346756964,)
1;47;(4.336442096365758,)
1;48;(9.268831697991967,)
1;49;(10.26626307737482,)
1;50;(3.215892933244694,)
1;51;(5.992427855454602,)
1;52;(9.368528603744469,)
1;53;(7.392625036869053,)
1;54;(3.4454836125811994,)
1;55;(6.4411571945553385,)
1;56;(15.798767733346399,)
1;57;(4.4921617482092895,)
1;58;(20.224213660432845,)
1;59;(2.9545905718662553,)
1;60;(4.196477202158492,)
1;61;(14.675340154780178,)
1;62;(8.242410551436903,)
1;63;(7.961813673101265,)
1;64;(17.006234450893437,)
1;65;(14.60467474219901,)
1;66;(7.140237295394444,)
1;67;(3.8994768973201914,)
1;68;(4.364746528593708,)
1;69;(2.6762496931206883,)
1;70;(16.31204568360126,)
1;71;(19.23577225713018,)
1;72;(6.169028201593115,)
1;73;(8.700974181305323,)
1;74;(10.349926051463196,)
1;75;(6.181101505400683,)
1;76;(8.452578769877995,)
1;77;(17.67657456958478,)
1;78;(7.38893111499409,)
1;79;(8.993455758027263,)
1;80;(4.652533518493904,)
1;81;(7.026622696127596,)
1;82;(14.151784451039287,)
1;83;(20.187589217211972,)
1;84;(7.194409742752668,)
1;85;(19.89641559000932,)
1;86;(15.270635964118483,)
1;87;(7.595891182491864,)
1;88;(5.043371264864411,)
1;89;(12.56708841239971,)
1;90;(20.20788465520068,)
1;91;(6.058330379254008,)
1;92;(13.027687119210011,)
1;93;(2.5434576902512074,)
1;94;(3.5219445416722674,)
1;95;(4.271345500243667,)
1;96;(8.842969100547794,)
1;97;(16.362270726956282,)
1;98;(11.890210598722739,)
1;99;(5.76127650714404,)
1;100;(1.9196431565111336,)
1;101;(6.716479705986571,)
1;102;(14.942110022194187,)
1;103;(14.162330162424865,)
1;104;(7.063530160680008,)
1;105;(7.311090160628229,)
1;106;(10.475503308427385,)
1;107;(12.755402021487381,)
1;108;(8.741645261970088,)
1;109;(4.450164991375786,)
1;110;(8.369861341263277,)
1;111;(3.296604005587076,)
1;112;(14.694337395405553,)
1;113;(15.25663763171054,)
1;114;(11.8139321280331,)
1;115;(9.407715146329092,)
1;116;(7.343857398767825,)
1;117;(7.754887957440273,)
1;118;(3.7975897886507948,)
1;119;(5.038419510347548,)
2;0;(15.34504148770312,)
2;1;(17.157926497673124,)
2;2;(7.5422976227563066,)
2;3;(17.67657456958478,)
2;4;(18.519829281761396,)
2;5;(11.28895272148101,)
2;6;(17.913211351765696,)
2;7;(20.59627009027553,)
2;8;(21.833562803198152,)
2;9;(17.42913681787069,)
2;10;(10.063772847011673,)
2;11;(20.08334326795626,)
2;12;(18.157097967808994,)
2;13;(18.519829281761396,)
2;14;(21.245932557424617,)
2;15;(10.470852663131955,)
2;16;(18.94719266044222,)
2;17;(8.948567240365655,)
2;18;(17.848648704279057,)
2;19;(16.521661876561055,)
2;20;(20.272550032413882,)
2;21;(13.113734895325384,)
2;22;(18.529856986334025,)
2;23;(13.426274066225899,)
2;24;(13.56553027182101,)
2;25;(18.768943631716063,)
2;26;(20.788312877848107,)
2;27;(14.880482758209233,)
2;28;(16.436821925418226,)
2;29;(12.39712391203668,)
2;30;(17.22380631820783,)
2;31;(18.278132899437658,)
2;32;(14.814046360190831,)
2;33;(22.03031717113369,)
2;34;(20.144682633102054,)
2;35;(17.680416957884066,)
2;36;(6.50841878723234,)
2;37;(21.674820449150083,)
2;38;(18.223098263344426,)
2;39;(19.931258492538014,)
2;40;(19.470893903918405,)
2;41;(14.212349236679536,)
2;42;(15.799367357075749,)
2;43;(19.92691281816959,)
2;44;(15.198887985554961,)
2;45;(16.658648768951128,)
2;46;(18.252973005466586,)
2;47;(15.38917425852752,)
2;48;(15.25663763171054,)
2;49;(13.214118584972246,)
2;50;(22.52899166170014,)
2;51;(10.158158223036171,)
2;52;(15.492090727590073,)
2;53;(12.043056953115201,)
2;54;(13.942406452106555,)
2;55;(16.3964342043809,)
2;56;(15.336207911814126,)
2;57;(8.471728518431746,)
2;58;(19.177046448007783,)
2;59;(17.869449265932793,)
2;60;(16.405250757403067,)
2;61;(20.22103905220779,)
2;62;(23.070958513143026,)
2;63;(17.417880217816013,)
2;64;(19.966935430961975,)
2;65;(20.02279837427988,)
2;66;(12.15325083582251,)
2;67;(18.519829281761396,)
2;68;(20.017856217992048,)
2;69;(15.115022289841011,)
2;70;(19.750060853621427,)
2;71;(13.457776358787546,)
2;72;(14.907647204230033,)
2;73;(8.748009817216374,)
2;74;(15.563300816428894,)
2;75;(11.569894215527873,)
2;76;(8.937953830589972,)
2;77;(11.937868520602462,)
2;78;(20.088902404903806,)
2;79;(20.190885846698833,)
2;80;(11.123972866370188,)
2;81;(18.798829969083535,)
2;82;(17.586185815424287,)
2;83;(19.983242647012126,)
2;84;(19.936452937235778,)
2;85;(8.852096813203453,)
2;86;(1.304305425693535,)
2;87;(13.08173927246661,)
2;88;(21.036906206908164,)
2;89;(15.506208648797227,)
2;90;(19.64985748960436,)
2;91;(19.89641559000932,)
2;92;(12.14391316355518,)
2;93;(10.270763161317705,)
2;94;(17.563571236106117,)
2;95;(18.631951171210684,)
2;96;(8.690787167969216,)
2;97;(16.661451898580218,)
2;98;(19.042645179405895,)
2;99;(19.407497858088426,)
2;100;(15.526163820457812,)
2;101;(15.851896836077293,)
2;102;(-2.5691104965188067,)
2;103;(18.742189130495337,)
2;104;(22.36648538764987,)
2;105;(12.082042204194117,)
2;106;(16.223520192733748,)
2;107;(2.5560143822274686,)
2;108;(20.669116815016128,)
2;109;(16.66527784763833,)
2;110;(18.290419195387393,)
2;111;(19.248499561146065,)
2;112;(20.538700783007613,)
2;113;(15.372646892191778,)
2;114;(13.800394084502498,)
2;115;(15.070937135455939,)
2;116;(20.537145766718368,)
2;117;(20.04097175444381,)
2;118;(20.224213660432845,)
2;119;(20.224213660432845,)
3;0;(18.411191573530253,)
3;1;(22.09190166388663,)
3;2;(20.101896089732698,)
3;3;(17.464143882805068,)
3;4;(16.27234469896259,)
3;5;(20.08334326795626,)
3;6;(18.170845465702065,)
3;7;(22.143250085672868,)
3;8;(17.192815283069645,)
3;9;(10.262509880440387,)
3;10;(18.30482466578755,)
3;11;(9.12719566289324,)
3;12;(21.152283274889566,)
3;13;(19.36908281146755,)
3;14;(22.047430423160286,)
3;15;(19.23577225713018,)
3;16;(11.892194771048256,)
3;17;(11.076227788017425,)
3;18;(22.36352499838298,)
3;19;(10.76491725218845,)
3;20;(22.874405619316178,)
3;21;(20.384468413334204,)
3;22;(15.244092034044025,)
3;23;(20.088902404903806,)
3;24;(19.517117822855166,)
3;25;(18.87904272085634,)
3;26;(19.88833895799548,)
3;27;(18.364635862828106,)
3;28;(20.38000963611451,)
3;29;(20.224213660432845,)
3;30;(20.224213660432845,)
3;31;(18.798829969083535,)
3;32;(20.453097215324934,)
3;33;(20.224213660432845,)
3;34;(19.89641559000932,)
3;35;(21.223528511649146,)
3;36;(19.74086985204015,)
3;37;(20.541003548705504,)
3;38;(20.107165723952473,)
3;39;(23.435503573550793,)
3;40;(23.261065766282737,)
3;41;(16.947201661032473,)
3;42;(20.28798986793157,)
3;43;(19.392533224940642,)
3;44;(19.89641559000932,)
3;45;(20.788312877848107,)
3;46;(20.12708013180637,)
3;47;(19.89010366852995,)
3;48;(19.618946948212898,)
3;49;(18.937884890615393,)
3;50;(13.341787338365583,)
3;51;(19.19187286115634,)
3;52;(20.482386927341256,)
3;53;(21.79329104627699,)
3;54;(18.77042720149137,)
3;55;(20.582912780248314,)
3;56;(22.597020429582138,)
3;57;(19.93827496999662,)
3;58;(21.656493882155743,)
3;59;(11.727262362026645,)
3;60;(18.21163700284092,)
3;61;(21.547452758882873,)
3;62;(21.833562803198152,)
3;63;(20.651484407289175,)
3;64;(20.68296873691655,)
3;65;(20.19479122574932,)
3;66;(20.538700783007613,)
3;67;(21.352142870668736,)
3;68;(18.37024983733638,)
3;69;(14.163426329392713,)
3;70;(22.754801309796218,)
3;71;(14.68774715021533,)
3;72;(19.397371891762333,)
3;73;(20.224213660432845,)
3;74;(16.7886410614826,)
3;75;(20.44155690017086,)
3;76;(20.07050177977952,)
3;77;(22.626468807468747,)
3;78;(20.224213660432845,)
3;79;(20.224213660432845,)
3;80;(18.48745430828765,)
3;81;(15.947526664952992,)
3;82;(20.291667475460443,)
3;83;(20.340151948778196,)
3;84;(12.848076657023746,)
3;85;(23.070958513143026,)
3;86;(20.00149401661257,)
3;87;(22.854283202192946,)
3;88;(8.368988647625685,)
3;89;(10.102189518140548,)
3;90;(13.95960520726641,)
3;91;(19.72120476533664,)
3;92;(20.224213660432845,)
3;93;(20.119804076529086,)
3;94;(20.861699022854417,)
3;95;(11.768956072198193,)
3;96;(19.66480751065451,)
3;97;(19.852617668740596,)
3;98;(22.46978105510201,)
3;99;(18.891625706160596,)
3;100;(20.684519968687393,)
3;101;(22.44436502471204,)
3;102;(21.3053704874105,)
3;103;(17.63654094479749,)
3;104;(20.314790758704163,)
3;105;(18.708882294130706,)
3;106;(13.275191338598791,)
3;107;(21.178789321247848,)
3;108;(10.001088153103623,)
3;109;(23.561968643607898,)
3;110;(21.355440127002097,)
3;111;(21.39079527855558,)
3;112;(16.823742763050983,)
3;113;(22.735614674467364,)
3;114;(18.519829281761396,)
3;115;(20.560482426643283,)
3;116;(18.125033008808447,)
3;117;(14.175006281133902,)
3;118;(18.481937082253317,)
3;119;(20.619503908150058,)
4;0;(20.1787254817419,)
4;1;(21.792617286070133,)
4;2;(20.691966881790524,)
4;3;(21.355440127002097,)
4;4;(20.695604856348588,)
4;5;(18.992061255937593,)
4;6;(21.906453393583423,)
4;7;(20.848083207179798,)
4;8;(21.29534414360669,)
4;9;(23.030759616644744,)
4;10;(23.070958513143026,)
4;11;(19.432448870834527,)
4;12;(23.017824465402526,)
4;13;(18.932823564606633,)
4;14;(22.93650827807017,)
4;15;(21.265095972059534,)
4;16;(23.575356636196954,)
4;17;(20.799336484236477,)
4;18;(20.345225425725395,)
4;19;(18.91695495923085,)
4;20;(23.34483542246901,)
4;21;(22.91283558230088,)
4;22;(22.895470302551644,)
4;23;(20.212299464104955,)
4;24;(23.030466039708003,)
4;25;(21.077182989900066,)
4;26;(20.717990899008846,)
4;27;(19.92691281816959,)
4;28;(9.394997286883047,)
4;29;(22.495512311369737,)
4;30;(-0.037534325829831516,)
4;31;(22.947964712439166,)
4;32;(11.631286335058201,)
4;33;(21.853413912533505,)
4;34;(22.82420305605163,)
4;35;(21.49275846135539,)
4;36;(12.929943545208836,)
4;37;(21.22101261554973,)
4;38;(16.805614755986944,)
4;39;(21.77835460142763,)
4;40;(21.07679184478033,)
4;41;(21.375472366705914,)
4;42;(16.165000945079093,)
4;43;(23.435503573550793,)
4;44;(22.570825969411338,)
4;45;(20.99401099249237,)
4;46;(21.703134495283546,)
4;47;(21.656493882155743,)
4;48;(12.450458062769965,)
4;49;(17.384252835329455,)
4;50;(22.868499277228896,)
4;51;(21.390822633432855,)
4;52;(21.76359381254769,)
4;53;(20.67023872417846,)
4;54;(18.681533807003227,)
4;55;(20.00336564155251,)
4;56;(22.464910192325107,)
4;57;(20.74456822701101,)
4;58;(21.67624587131366,)
4;59;(19.534837089501924,)
4;60;(22.565771774094742,)
4;61;(19.931840742537716,)
4;62;(20.363999024359728,)
4;63;(21.73569383530551,)
4;64;(9.32973967510932,)
4;65;(22.948404923955266,)
4;66;(20.905446092532507,)
4;67;(21.62001426542453,)
4;68;(23.450768631814505,)
4;69;(21.679008003918703,)
4;70;(16.355475951834315,)
4;71;(21.911082988595528,)
4;72;(22.938092355136376,)
4;73;(19.361538971128013,)
4;74;(21.88723201810908,)
4;75;(22.329061082555622,)
4;76;(22.143250085672868,)
4;77;(22.497428988957708,)
4;78;(20.689679961265426,)
4;79;(22.039572536315113,)
4;80;(21.503862296164193,)
4;81;(20.632283014402894,)
4;82;(23.10737721963727,)
4;83;(21.677062443769763,)
4;84;(22.754801309796218,)
4;85;(8.152968389189128,)
4;86;(19.209126263343492,)
4;87;(20.58220349843362,)
4;88;(20.39008237429951,)
4;89;(22.193384878116127,)
4;90;(20.86221410429531,)
4;91;(21.797882165411345,)
4;92;(20.050553362873934,)
4;93;(20.791426993256824,)
4;94;(21.535002676807913,)
4;95;(21.823058767800394,)
4;96;(22.48932421998634,)
4;97;(22.761441778747134,)
4;98;(20.118526185874465,)
4;99;(23.50513180559405,)
