Time,Universal_Angle_1_0,Universal_Angle_2_0,Universal_Angle_1_1,Universal_Angle_2_1,Universal_Angle_1_2,Universal_Angle_2_2,Universal_Angle_1_3,Universal_Angle_2_3,Universal_Angle_1_4,Universal_Angle_2_4,Universal_Angle_1_5,Universal_Angle_2_5,Universal_Angle_1_6,Universal_Angle_2_6
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
3.5,-0.0,0.21211253285,-7.06789929214e-17,0.289094582283,-1.41357985843e-16,0.107210509106,-7.06789929214e-17,-0.0682867058727,-7.06789929214e-17,-0.326768880735,-0.0,-0.104885350372,-0.0,0.0327833754785
9.14,-1.41357985843e-16,0.231118404743,-1.76697482304e-16,-0.0677566793162,-1.06018489382e-16,-0.170935246403,-7.06789929214e-17,-0.236219640229,-7.06789929214e-17,-0.088341149078,-0.0,0.252056904631,-7.06789929214e-17,0.190935566123
0.76,-7.06789929214e-17,-0.148769701969,-1.41357985843e-16,0.0859534603234,-1.41357985843e-16,0.276952694587,-1.41357985843e-16,0.243200897944,-7.06789929214e-17,0.159453205357,-7.06789929214e-17,-0.350885359728,-1.76697482304e-16,-0.246891952748
7.04,-0.0,-0.293855437797,-0.0,-0.125196473033,-1.41357985843e-16,0.119252358043,-7.06789929214e-17,0.216747412626,-7.06789929214e-17,0.162604433713,-1.41357985843e-16,-0.0412151739304,-0.0,-0.210161310687
8.2,-2.12036978764e-16,0.000785631370638,-7.06789929214e-17,0.212953701666,-7.06789929214e-17,0.285171450275,-1.41357985843e-16,0.0853866086124,-1.41357985843e-16,-0.175949368413,-1.41357985843e-16,-0.285657470139,-7.06789929214e-17,-0.159161895158
7.62,-2.12036978764e-16,0.209628031345,-0.0,-0.0888963626508,-0.0,-0.182727412037,-1.41357985843e-16,-0.226649411934,-7.06789929214e-17,-0.0675843441565,-7.06789929214e-17,0.268088942741,-7.06789929214e-17,0.187734312621
3.58,-0.0,0.132141911594,-0.0,0.315208786027,-7.06789929214e-17,0.183840939591,-0.0,-0.0248479462289,-7.06789929214e-17,-0.28588014083,-0.0,-0.185002433521,-1.41357985843e-16,-0.0472489737894
2.68,-1.76697482304e-16,-0.234652771472,-7.06789929214e-17,-0.263989792873,-1.41357985843e-16,0.0207976269056,-7.06789929214e-17,0.0974045980992,-1.41357985843e-16,0.288639977667,-7.06789929214e-17,0.141003689675,-1.41357985843e-16,-0.135497925376
6.1,-1.76697482304e-16,0.189137992974,-7.06789929214e-17,-0.109675143659,-1.41357985843e-16,-0.19720546644,-0.0,-0.21246074101,-1.41357985843e-16,-0.0464576617609,-7.06789929214e-17,0.284812170213,-1.41357985843e-16,0.184022555921
