generation;index;fitness
0;0;(4.678416103037435,)
0;1;(-3.968397835890361,)
0;2;(28.50717389011964,)
0;3;(-3.2961149664962193,)
0;4;(42.72758320785741,)
0;5;(-2.0213870036126735,)
0;6;(7.697545617221437,)
0;7;(44.416725421755366,)
0;8;(-4.973669222168155,)
0;9;(-5.128340946757223,)
0;10;(19.714219440266202,)
0;11;(-0.291450815670947,)
0;12;(-14.62125397631311,)
0;13;(28.768470785351685,)
0;14;(25.191492780734094,)
0;15;(-15.42020457927331,)
0;16;(-0.6034292959634939,)
0;17;(2.72972186063868,)
0;18;(-43.05218602817508,)
0;19;(8.562604167267367,)
0;20;(-3.894319492606364,)
0;21;(12.554327776837493,)
0;22;(-7.249820823231797,)
0;23;(-5.078317722143883,)
0;24;(-1.6173397370516263,)
0;25;(-11.38144062593782,)
0;26;(-2.8544094062438905,)
0;27;(2.8921723456986346,)
0;28;(2.464888679442385,)
0;29;(42.987596880267176,)
0;30;(18.265525066438233,)
0;31;(8.237341043345317,)
0;32;(-7.467567659316561,)
0;33;(-68.73171603933825,)
0;34;(5.867330418255445,)
0;35;(2.886779170751833,)
0;36;(2.606297594759928,)
0;37;(1.9423505214238048,)
0;38;(35.044776182683904,)
0;39;(-0.6599312837816793,)
0;40;(0.4011788457047416,)
0;41;(21.061629516961794,)
0;42;(14.998476814458991,)
0;43;(-0.5968759695883854,)
0;44;(3.843742004784753,)
0;45;(19.006458533179273,)
0;46;(-9.785120812437054,)
0;47;(0.927264152123346,)
0;48;(-31.198406105065885,)
0;49;(-2.205790299356382,)
0;50;(-1.7954060944405423,)
0;51;(-49.70375373492234,)
0;52;(-11.63801467254859,)
0;53;(1.0475460410655835,)
0;54;(24.5864747151088,)
0;55;(8.669921829014816,)
0;56;(-11.076976804536969,)
0;57;(-3.44880924728659,)
0;58;(9.522427089326932,)
0;59;(12.79670169850429,)
0;60;(-48.29184114810933,)
0;61;(-0.29240070515453986,)
0;62;(18.647906539986185,)
0;63;(-38.67931704594338,)
0;64;(-15.508922996821923,)
0;65;(31.42741402499705,)
0;66;(-21.1970208962032,)
0;67;(1.4592138360737898,)
0;68;(46.8599183620442,)
0;69;(-11.941831134759674,)
0;70;(-2.642122017835746,)
0;71;(-0.558890640753523,)
0;72;(-4.773343895030607,)
0;73;(-0.2669129370161354,)
0;74;(-10.042353979057253,)
0;75;(11.0895384062685,)
0;76;(21.924949498833975,)
0;77;(-5.534791827531812,)
0;78;(3.2064054038683256,)
0;79;(-20.958472138919518,)
0;80;(-0.24961934415507336,)
0;81;(14.400891051180833,)
0;82;(-7.851595657875144,)
0;83;(54.8109674785268,)
0;84;(-7.41607833347534,)
0;85;(3.792560771806521,)
0;86;(7.877707468418944,)
0;87;(-0.871671805829747,)
0;88;(-0.12954115311048398,)
0;89;(0.36491475215952107,)
0;90;(-25.583049744557236,)
0;91;(-9.661909907840847,)
0;92;(43.25273325318773,)
0;93;(9.063983559547449,)
0;94;(-11.31993755760314,)
0;95;(9.887399218934767,)
0;96;(31.557049978432428,)
0;97;(17.62514286392205,)
0;98;(-17.021980531748817,)
0;99;(16.228241468104567,)
0;100;(0.4970214595381375,)
0;101;(-8.449972250945649,)
0;102;(-4.890289833758523,)
0;103;(0.643871174408039,)
0;104;(2.4566446126742623,)
0;105;(47.9205412916521,)
0;106;(-0.5018361813244123,)
0;107;(-7.985712592630428,)
0;108;(77.91498700126793,)
0;109;(13.491936944604925,)
0;110;(0.15539819058944992,)
0;111;(-11.210182264820336,)
0;112;(-13.258774228021352,)
0;113;(21.25946473951153,)
0;114;(6.809886019804822,)
0;115;(8.323088934812803,)
0;116;(16.027912809985274,)
0;117;(-1.530329190538172,)
0;118;(-88.56071569878452,)
0;119;(-1.4041715995373494,)
1;0;(7.257447312722979,)
1;1;(1.5374844614718484,)
1;2;(47.56089519117054,)
1;3;(17.287433642738016,)
1;4;(9.775395070651605,)
1;5;(24.5864747151088,)
1;6;(75.402356886983,)
1;7;(16.634443165036025,)
1;8;(28.632853194705632,)
1;9;(44.416725421755366,)
1;10;(43.823704371923256,)
1;11;(47.86389983913288,)
1;12;(-24.611995366215695,)
1;13;(10.023690462059843,)
1;14;(1.1297370232332256,)
1;15;(7.728940519049704,)
1;16;(82.39812556462867,)
1;17;(-9.135234708945525,)
1;18;(14.552025923845067,)
1;19;(4.191339189102978,)
1;20;(50.56988041299671,)
1;21;(12.187500425003474,)
1;22;(46.14072192792463,)
1;23;(-28.20405661720075,)
1;24;(9.93628165345019,)
1;25;(3.182420421486839,)
1;26;(4.228942293782344,)
1;27;(-0.610205574894719,)
1;28;(5.782393648991399,)
1;29;(0.8043018798537638,)
1;30;(3.791908393486139,)
1;31;(24.648157428427062,)
1;32;(6.256743184945147,)
1;33;(-1.667589558226192,)
1;34;(14.918206270449595,)
1;35;(77.91498700126793,)
1;36;(42.80137019633245,)
1;37;(4.659816383332487,)
1;38;(46.520878133295795,)
1;39;(-3.425695348421641,)
1;40;(41.01690576287176,)
1;41;(3.7902878648012894,)
1;42;(19.489876067858837,)
1;43;(16.23992863026309,)
1;44;(15.401904178308483,)
1;45;(-1.1632231887637676,)
1;46;(10.638963574328075,)
1;47;(2.935977950904052,)
1;48;(-0.7837166500102626,)
1;49;(31.696247709017435,)
1;50;(82.94992482758666,)
1;51;(43.25273325318773,)
1;52;(31.557049978432428,)
1;53;(46.858813790155104,)
1;54;(32.01163066949621,)
1;55;(54.09452014844435,)
1;56;(28.226970017979042,)
1;57;(-0.28193814866209266,)
1;58;(7.697545617221437,)
1;59;(24.584458483634496,)
1;60;(6.140947311490004,)
1;61;(30.324927886837614,)
1;62;(14.08083398407717,)
1;63;(27.623681784681594,)
1;64;(16.70960685050313,)
1;65;(11.73714552613955,)
1;66;(28.901990669103693,)
1;67;(11.488997008229385,)
1;68;(1.6578832520723186,)
1;69;(4.355389697163101,)
1;70;(20.022348660677473,)
1;71;(4.620407985783739,)
1;72;(15.919550038913075,)
1;73;(28.840222709093364,)
1;74;(7.491697563609598,)
1;75;(20.18760184740899,)
1;76;(63.16525484344024,)
1;77;(27.826466245400187,)
1;78;(11.054989381771929,)
1;79;(52.14984029781973,)
1;80;(1.6855033480675683,)
1;81;(2.5518220050993143,)
1;82;(7.180724658467886,)
1;83;(13.79815368828415,)
1;84;(-0.5018361813244123,)
1;85;(1.588305636765396,)
1;86;(-0.4809214747896444,)
1;87;(31.557049978432428,)
1;88;(7.397164349345095,)
1;89;(48.70102232526318,)
1;90;(27.33235545363538,)
1;91;(-0.5926402881565842,)
1;92;(46.81395941389307,)
1;93;(51.10925840386328,)
1;94;(4.401214337059837,)
1;95;(1.785411270747277,)
1;96;(-0.1369166962724364,)
1;97;(18.66377297087432,)
1;98;(12.619069890138586,)
1;99;(0.5031647855711388,)
1;100;(4.0947341147832965,)
1;101;(14.225871483276388,)
1;102;(23.496482332639903,)
1;103;(-4.3776503918581255,)
1;104;(8.896220086421724,)
1;105;(20.0738271081389,)
1;106;(5.870431917013209,)
1;107;(3.8587051947339734,)
1;108;(-4.480293008183253,)
1;109;(7.904431087300018,)
1;110;(-9.819202475728076,)
1;111;(7.958012958752028,)
1;112;(7.784468071928847,)
1;113;(19.66794275824664,)
1;114;(2.4099674737160104,)
1;115;(11.632493136323786,)
1;116;(17.05565077308233,)
1;117;(8.335297824002005,)
1;118;(41.520788357946365,)
1;119;(5.760698218560758,)
2;0;(32.192155512187924,)
2;1;(7.479266752236479,)
2;2;(75.99580255024917,)
2;3;(29.013386171020617,)
2;4;(15.288156967101848,)
2;5;(28.866716469777316,)
2;6;(20.946048236255407,)
2;7;(-11.063563405569887,)
2;8;(33.04883017437629,)
2;9;(82.12811033613109,)
