Time,Universal_Angle_1_0,Universal_Angle_2_0,Universal_Angle_1_1,Universal_Angle_2_1,Universal_Angle_1_2,Universal_Angle_2_2,Universal_Angle_1_3,Universal_Angle_2_3,Universal_Angle_1_4,Universal_Angle_2_4,Universal_Angle_1_5,Universal_Angle_2_5,Universal_Angle_1_6,Universal_Angle_2_6,Universal_Angle_1_7,Universal_Angle_2_7,Universal_Angle_1_8,Universal_Angle_2_8,Universal_Angle_1_9,Universal_Angle_2_9,Universal_Angle_1_10,Universal_Angle_2_10,Universal_Angle_1_11,Universal_Angle_2_11,Universal_Angle_1_12,Universal_Angle_2_12,Universal_Angle_1_13,Universal_Angle_2_13,Universal_Angle_1_14,Universal_Angle_2_14,Universal_Angle_1_15,Universal_Angle_2_15
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
3.5,-1.82895661428e-05,-0.589826587593,-1.23490116308e-05,-0.554772088383,1.50781530159e-05,-0.493195639176,1.43038160982e-05,-0.453615360494,-5.13417671796e-06,-0.461642968805,-1.56528183786e-05,-0.51524042916,-2.31722220006e-06,-0.585129742354,2.15814240753e-05,0.447741499474,1.57138608298e-05,0.142443242739,7.3678698674e-06,-0.168237648918,-8.21519945533e-07,-0.308391167661,-4.63133842353e-06,-0.047846797613,-6.7790907627e-06,0.242218766965,-7.86672411117e-06,0.48898100422,-6.84035447164e-06,0.523953464655,-2.7252525835e-06,0.139832751529
9.14,-7.60412007719e-06,-0.604410089642,-4.00553197049e-05,-0.637998133905,2.79612286329e-05,-0.600126815644,6.16043469762e-05,-0.537899397016,8.75485700806e-07,-0.510115823397,-8.37789995285e-06,-0.538986486664,3.1883168397e-05,-0.606628014567,4.71627106059e-05,0.431468583852,6.42519017755e-05,0.256489397338,-1.02584548855e-05,-0.128485407146,-3.59847528309e-05,-0.427804216909,-3.33953308889e-05,-0.360811596667,-3.03496592574e-05,0.029515558029,-2.60676303994e-05,0.373555710047,-1.80892847604e-05,0.549136262771,-7.13763555377e-06,0.266172102963
0.76,-1.62099303684e-06,-0.537043997723,-1.32893503403e-06,-0.488510362214,3.2271482102e-06,-0.45165605409,4.06382183745e-06,-0.447293915839,1.75316015983e-06,-0.480332154429,1.46951300259e-07,-0.539069766278,3.00773682676e-06,-0.591287541699,9.67640389417e-06,0.47378897884,2.1885349337e-05,-0.0475509734677,1.50186361313e-05,-0.0505534423814,7.08387417e-06,-0.0491223203946,9.91903241871e-08,-0.0432835785169,-4.27924249201e-06,-0.0339291306645,-5.42987144993e-06,-0.0227275233759,-3.94115996127e-06,-0.011740136032,-1.38944393039e-06,-0.003361482332
7.04,-1.00460010126e-05,-0.601912914651,-2.93453330942e-05,-0.624928745706,3.27783931211e-05,-0.59408865078,4.58086783876e-05,-0.539409066353,5.68408753133e-07,-0.50793538709,-6.39878185775e-06,-0.524669381738,2.88087391789e-05,-0.583710830925,3.72108409255e-05,0.450228298498,1.63655183496e-05,0.235913222571,-8.13011670921e-06,0.31491699206,-1.46107389221e-05,-0.00147914732504,-4.35665296761e-06,-0.286929066907,1.19942246973e-06,-0.512990501335,1.12184454668e-06,-0.390759490387,-2.27660998936e-06,-0.0296479118578,-3.68090805981e-06,0.357824424915
8.2,-8.63589114939e-06,-0.602474972402,-3.49262015799e-05,-0.623094192025,3.02380067697e-05,-0.594828007284,5.20056581438e-05,-0.543752207289,-3.19106344582e-06,-0.511977670063,-1.16956009686e-05,-0.521301426844,2.853742529e-05,-0.565430195525,4.67066760239e-05,0.487235468953,3.44682219721e-05,0.101058915742,-1.48314170935e-05,0.348838106041,-2.9136717251e-05,0.14228524047,-1.90267906704e-05,-0.173302582925,-1.22053036158e-05,-0.454431674296,-8.85036853577e-06,-0.53237847937,-6.23669001001e-06,-0.224731612283,-4.2277524027e-06,0.193751364383
7.62,-9.02578811427e-06,-0.601863388703,-3.20517124174e-05,-0.623899959622,3.1621730573e-05,-0.594908423614,4.88300213932e-05,-0.542236718766,-1.19692051779e-06,-0.510334390263,-8.91183955522e-06,-0.522889498358,2.85887939028e-05,-0.574192787104,4.10656021269e-05,0.468616401474,2.33563670851e-05,0.170636308137,-1.17568958391e-05,0.342887981029,-2.11041015358e-05,0.0686673478479,-1.02530451889e-05,-0.230171093421,-3.52017436344e-06,-0.493752419919,-1.5272462432e-06,-0.472857428373,-2.51764389861e-06,-0.125730533959,-3.53314139275e-06,0.280675090399
3.58,-1.72276621005e-05,-0.588267530081,-1.17277713297e-05,-0.556176184692,1.61872107857e-05,-0.495622041367,1.53024719421e-05,-0.453111044009,-3.82490229927e-06,-0.456123320771,-1.36497989527e-05,-0.509153043698,-1.23966807838e-06,-0.592799285286,2.0137987373e-05,0.41015308928,1.43758786019e-05,0.346976921723,7.58597590597e-06,0.082230878002,4.06775539764e-07,-0.177893642417,-2.89818355392e-06,-0.351554852292,-5.18902141395e-06,-0.135550116913,-6.30847577172e-06,0.119905498655,-5.58665033516e-06,0.408861390185,-2.18737940686e-06,0.446397216973
2.68,-1.19268692373e-05,-0.543813240643,-7.39041883523e-06,-0.503239630939,9.46385031416e-06,-0.470110939732,9.01603679997e-06,-0.461965880732,-3.00002004177e-06,-0.482658679407,-9.94073773026e-06,-0.522206970195,-7.82174956007e-07,-0.557674261527,1.70236009562e-05,0.507223855254,1.80638822657e-05,-0.000116527445421,1.07182986473e-05,2.94529531874e-05,3.10006305029e-06,0.000155447104291,-3.1030700697e-06,0.000246519163468,-6.53495118444e-06,0.00102861466277,-6.79640873253e-06,0.00114443445147,-4.5989273112e-06,0.000505154693523,-1.57227882483e-06,7.96503839224e-05
6.1,-1.56221278767e-05,-0.591047486864,-2.57338424031e-05,-0.598913308858,3.31992861281e-05,-0.580764050506,3.71652096308e-05,-0.543636172492,-5.78546912109e-06,-0.504791234499,-1.37696781198e-05,-0.481765428461,2.26465264487e-05,-0.486438328784,3.57386710905e-05,0.569403679132,1.49690606581e-05,-0.369228184651,2.04105872804e-06,-0.0706825749908,-3.95875552762e-06,0.216136594691,1.0611943753e-06,0.374761624948,1.55957447724e-06,0.124273222448,-2.10382340053e-06,-0.154453260893,-6.17366276774e-06,-0.438988498038,-4.58345176995e-06,-0.441856451524
4.74,-2.02997354332e-05,-0.611009358391,-1.89303907263e-05,-0.589956917141,2.86071772968e-05,-0.520615373862,2.83152308273e-05,-0.46173433883,-1.72019556509e-06,-0.452649155157,-1.08718297564e-05,-0.503511463168,1.22801348511e-05,-0.595605240856,2.92728399767e-05,0.404307288434,1.50926164161e-05,0.353384622272,7.33472854982e-06,0.150464825985,9.71171040729e-07,-0.148934120591,-7.49904011769e-07,-0.418214758086,-4.54763019757e-06,-0.412625024911,-8.88938470005e-06,-0.0982761828038,-9.02929622084e-06,0.236816328123,-3.63278365168e-06,0.47653323614
