generation;index;fitness
0;0;(13.93335070122183,)
0;1;(5.3539818142212035,)
0;2;(1.5320923588226574,)
0;3;(4.221533357460823,)
0;4;(9.458518375100581,)
0;5;(3.530351501620297,)
0;6;(4.395500059365995,)
0;7;(-0.3080708415314426,)
0;8;(3.411016888801221,)
0;9;(0.9125221549002767,)
0;10;(-12.988010514598813,)
0;11;(5.000347396739562,)
0;12;(14.390512298865938,)
0;13;(-0.9974912885018927,)
0;14;(5.8877479247685205,)
0;15;(-0.39892792702813473,)
0;16;(2.74660280353239,)
0;17;(3.487295336894645,)
0;18;(3.237457225470564,)
0;19;(0.5233280055831173,)
0;20;(10.350603760020315,)
0;21;(3.337868077522984,)
0;22;(4.974127890495705,)
0;23;(15.603959703355516,)
0;24;(2.1775777999365467,)
0;25;(-1.2308533746300654,)
0;26;(2.452882160913042,)
0;27;(3.4394171159754077,)
0;28;(3.7463754921505767,)
0;29;(7.933915427333274,)
0;30;(6.996746848541127,)
0;31;(-6.129575757704419,)
0;32;(9.62578296353847,)
0;33;(3.744650073704914,)
0;34;(-0.18766927493112462,)
0;35;(-5.245769511922937,)
0;36;(-0.8267026497014882,)
0;37;(2.888317179330917,)
0;38;(17.707752920774944,)
0;39;(8.40399281732795,)
0;40;(3.173209537970852,)
0;41;(3.1538890649092686,)
0;42;(3.172485627891774,)
0;43;(3.1674587691741287,)
0;44;(9.405311881328537,)
0;45;(14.17740292474324,)
0;46;(2.0511470728870833,)
0;47;(3.265557651683457,)
0;48;(2.50131462764913,)
0;49;(12.754772384282926,)
0;50;(1.9833824899101895,)
0;51;(2.9405647837308493,)
0;52;(1.0996436434403023,)
0;53;(6.4149268896537555,)
0;54;(4.4321543238020755,)
0;55;(3.781459716712183,)
0;56;(-2.688100915604579,)
0;57;(11.198900927146155,)
0;58;(-8.641537721069476,)
0;59;(4.078217905869124,)
0;60;(4.616379570485263,)
0;61;(2.1785260678691944,)
0;62;(4.355728922447122,)
0;63;(7.194735836981984,)
0;64;(3.82130973479134,)
0;65;(-0.918894391314625,)
0;66;(-0.4762686010208981,)
0;67;(-10.500896619583848,)
0;68;(7.856608419776359,)
0;69;(8.256963020154828,)
0;70;(-10.999102089639809,)
0;71;(-3.4978493351635223,)
0;72;(-2.5800576650701785,)
0;73;(-3.399333848805856,)
0;74;(2.706105126941118,)
0;75;(0.8535951708306904,)
0;76;(10.881702449924175,)
0;77;(1.6429926998080386,)
0;78;(-0.35458251157345444,)
0;79;(5.270438165049757,)
0;80;(-0.1747164800908685,)
0;81;(8.110614440221944,)
0;82;(5.2643116965662236,)
0;83;(3.592381044653946,)
0;84;(3.880505984744646,)
0;85;(15.689681224447387,)
0;86;(9.699028229023273,)
0;87;(3.8382335097671465,)
0;88;(-8.906417029690115,)
0;89;(-11.0511375624673,)
0;90;(3.578115708203569,)
0;91;(-5.69334799772658,)
0;92;(3.7794361886751915,)
0;93;(3.712104585084436,)
0;94;(2.0713449359749543,)
0;95;(2.8490725008888944,)
0;96;(0.9874200962563418,)
0;97;(5.73243366150172,)
0;98;(6.526349346148095,)
0;99;(14.43109209109425,)
0;100;(-1.9525834192480804,)
0;101;(5.937739008529564,)
0;102;(1.5329388996673465,)
0;103;(9.357067485901435,)
0;104;(3.5067266466549114,)
0;105;(0.6807646231262652,)
0;106;(1.8860687216287833,)
0;107;(3.1881520704230066,)
0;108;(3.4308396086679185,)
0;109;(14.731382335901456,)
