0.0,|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|
0.02,|[0.0, -0.282842712474619, -0.4, -0.28284271247461906, -4.898587196589413e-17, 0.282842712474619, 0.4, 0.28284271247461906, 9.797174393178826e-17, -0.28284271247461895, -0.4, -0.28284271247461934, -1.4695761589768238e-16, 0.2828427124746192, 0.4, 0.2828427124746194]|
0.04,|[0.09947595486594192, -0.20361656630014854, -0.38743326445145243, -0.3442968108015775, -0.09947595486594193, 0.2036165663001485, 0.38743326445145243, 0.3442968108015776, 0.09947595486594214, -0.20361656630014832, -0.38743326445145243, -0.3442968108015778, -0.0994759548659422, 0.20361656630014857, 0.38743326445145243, 0.3442968108015778]|
0.06,|[0.19270146964068613, -0.1115964424156917, -0.35052267201754544, -0.38411747427077725, -0.1927014696406861, 0.11159644241569172, 0.35052267201754544, 0.38411747427077725, 0.19270146964068613, -0.11159644241569167, -0.35052267201754544, -0.38411747427077747, -0.1927014696406865, 0.11159644241569162, 0.3505226720175452, 0.38411747427077747]|
0.08,|[0.27381884237147547, -0.012564303631251335, -0.29158745096856464, -0.39980262414629264, -0.2738188423714755, 0.012564303631251198, 0.29158745096856453, 0.39980262414629264, 0.2738188423714756, -0.012564303631251147, -0.2915874509685645, -0.39980262414629264, -0.27381884237147536, 0.012564303631251808, 0.2915874509685647, 0.39980262414629264]|
0.1,|[0.33773117020080606, 0.08725729655861705, -0.21433071799159864, -0.39036670477549895, -0.3377311702008061, -0.08725729655861711, 0.21433071799159858, 0.3903667047754989, 0.337731170200806, 0.08725729655861733, -0.21433071799159867, -0.3903667047754989, -0.33773117020080606, -0.08725729655861668, 0.21433071799159864, 0.3903667047754989]|
0.12000000000000001,|[0.3804226065180614, 0.1815961998958187, -0.12360679774997896, -0.35640260967534715, -0.3804226065180615, -0.18159619989581877, 0.12360679774997892, 0.35640260967534715, 0.3804226065180615, 0.1815961998958188, -0.12360679774997888, -0.356402609675347, -0.3804226065180615, -0.18159619989581854, 0.12360679774997883, 0.3564026096753469]|
0.14,|[0.39921069137130866, 0.2645247461294608, -0.025116207811725296, -0.3000444278521838, -0.39921069137130866, -0.26452474612946086, 0.02511620781172516, 0.3000444278521837, 0.39921069137130866, 0.2645247461294609, -0.025116207811725112, -0.30004442785218344, -0.39921069137130866, -0.2645247461294607, 0.025116207811725064, 0.30004442785218344]|
0.16,|[0.39291490029147547, 0.3308322297098248, 0.07495252583428995, -0.22483335114085215, -0.39291490029147547, -0.33083222970982484, -0.07495252583429, 0.22483335114085212, 0.3929149002914754, 0.33083222970982473, 0.07495252583429023, -0.22483335114085162, -0.3929149002914754, -0.3308322297098248, -0.07495252583429028, 0.22483335114085157]|
0.18,|[0.36193082098640783, 0.37635230758169025, 0.17031171662602912, -0.1354951680981165, -0.36193082098640783, -0.37635230758169025, -0.17031171662602917, 0.13549516809811643, 0.3619308209864078, 0.37635230758169025, 0.1703117166260292, -0.13549516809811607, -0.3619308209864078, -0.37635230758169, -0.1703117166260296, 0.13549516809811635]|
0.19999999999999998,|[0.30820529711031575, 0.398224785841232, 0.25496959589947593, -0.03764332532740569, -0.3082052971103157, -0.398224785841232, -0.25496959589947593, 0.03764332532740564, 0.30820529711031575, 0.39822478584123205, 0.2549695958994759, -0.037643325327405414, -0.30820529711031575, -0.398224785841232, -0.25496959589947593, 0.03764332532740537]|
0.21999999999999997,|[0.2351141009169893, 0.39507533623805513, 0.323606797749979, 0.06257378601609236, -0.23511410091698925, -0.39507533623805513, -0.323606797749979, -0.0625737860160924, 0.23511410091698923, 0.3950753362380551, 0.323606797749979, 0.0625737860160928, -0.23511410091698917, -0.39507533623805513, -0.3236067977499791, -0.06257378601609284]|
0.23999999999999996,|[0.1472498210738714, 0.36710185027359254, 0.3719105943553005, 0.15885915625391206, -0.14724982107387138, -0.36710185027359254, -0.3719105943553005, -0.15885915625391211, 0.14724982107387133, 0.36710185027359254, 0.3719105943553005, 0.15885915625391248, -0.14724982107387127, -0.36710185027359266, -0.3719105943553007, -0.1588591562539122]|
0.25999999999999995,|[0.050133293425721995, 0.3160620049502763, 0.3968458805257911, 0.2451628214611904, -0.05013329342572195, -0.3160620049502763, -0.3968458805257911, -0.24516282146119042, 0.0501332934257219, 0.3160620049502762, 0.3968458805257911, 0.24516282146119062, -0.05013329342572203, -0.3160620049502766, -0.3968458805257911, -0.24516282146119064]|
0.27999999999999997,|[-0.05013329342572137, 0.24516282146119087, 0.3968458805257912, 0.316062004950276, 0.05013329342572142, -0.24516282146119084, -0.3968458805257912, -0.31606200495027603, -0.05013329342572146, 0.24516282146119078, 0.3968458805257912, 0.31606200495027625, 0.050133293425721516, -0.24516282146119106, -0.3968458805257912, -0.31606200495027625]|
0.3,|[-0.147249821073871, 0.15885915625391245, 0.37191059435530066, 0.36710185027359243, 0.14724982107387105, -0.15885915625391236, -0.37191059435530066, -0.36710185027359243, -0.1472498210738711, 0.15885915625391234, 0.3719105943553006, 0.3671018502735926, 0.14724982107387116, -0.15885915625391261, -0.3719105943553006, -0.3671018502735926]|
0.32,|[-0.23511410091698923, 0.0625737860160924, 0.323606797749979, 0.39507533623805513, 0.23511410091698925, -0.06257378601609236, -0.323606797749979, -0.39507533623805513, -0.2351141009169893, 0.0625737860160923, 0.32360679774997897, 0.3950753362380552, 0.23511410091698937, -0.0625737860160926, -0.3236067977499789, -0.3950753362380552]|
