Time,Universal_Angle_1_0,Universal_Angle_2_0,Universal_Angle_1_1,Universal_Angle_2_1,Universal_Angle_1_2,Universal_Angle_2_2,Universal_Angle_1_3,Universal_Angle_2_3,Universal_Angle_1_4,Universal_Angle_2_4,Universal_Angle_1_5,Universal_Angle_2_5,Universal_Angle_1_6,Universal_Angle_2_6
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
3.5,-1.65463100074e-05,0.647758198437,-1.28044505218e-05,0.626218542574,-9.99869264404e-06,0.618300202704,-1.20007701031e-05,0.631445612383,-1.46057041583e-05,0.653399336692,-2.13731667217e-05,0.000868130851188,-3.10716635921e-05,-0.000527134945331
9.14,-1.5316530924e-05,0.947937169241,2.77707469223e-06,0.940141256579,-1.21978587469e-05,0.948664394068,-1.14241908811e-05,-0.00225898951268,-1.84599787506e-05,-0.00201409105221,-2.23739494426e-05,-0.00180384531054,-3.07758780139e-05,-0.00203069149542
0.76,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
7.04,-1.55900927308e-05,0.947922543343,2.59943051062e-06,0.940155958685,-1.22273489122e-05,0.948646913473,-1.16296916229e-05,-0.0022953172663,-1.84933054393e-05,-0.00200325740123,-2.23980021841e-05,-0.00199808072895,-3.07850807797e-05,-0.0019620718953
8.2,-1.55321500833e-05,0.944668962016,2.79908648905e-06,0.944166249422,-1.2390698405e-05,0.945613687331,-1.15664266621e-05,-0.00108216720028,-1.84813582411e-05,-0.001476840019,-2.23837745054e-05,-0.00215494054356,-3.07793413904e-05,-0.00205103986761
7.62,-1.56773600714e-05,0.94094426488,2.78539959762e-06,0.947634184249,-1.24937193004e-05,0.941949066072,-1.16618388854e-05,-0.000718949923123,-1.85267662061e-05,-0.00131541183343,-2.24210335571e-05,-0.00180396346266,-3.07946352264e-05,-0.00194572874193
3.58,-1.62640594604e-05,0.648510713384,-1.2908442738e-05,0.626994655159,-1.00785655339e-05,0.618845055529,-1.19209406717e-05,0.631355812201,-1.45464622112e-05,0.653294558056,-2.15891898486e-05,-0.000847784432966,-3.10714890029e-05,-0.000526653157004
2.68,-1.98777239686e-05,0.546683329951,-1.24040401902e-05,0.52093020846,-8.1785022796e-06,0.49812563638,-9.92632117825e-06,0.52829184322,-1.28325260886e-05,0.553710256406,-1.92992217813e-05,0.57482627742,-2.90391256984e-05,0.0044824628365
6.1,-9.91992969241e-06,0.950013723361,-6.96795132505e-06,0.929667665886,-6.4039306005e-07,0.943131683742,-1.11617213694e-05,0.00144563822249,-1.85613813547e-05,-0.00109159071964,-2.24438107251e-05,-0.00169584053653,-3.08028913804e-05,-0.00192206790429
4.74,-1.20611565256e-05,0.771898377048,-1.48269551742e-05,0.74751889107,-1.07843569565e-05,0.754468780627,-1.17729049667e-05,0.784258600005,-1.78523874504e-05,-0.00113394454599,-2.28745529077e-05,-0.0020258066619,-3.09515810746e-05,-0.0021212682597
8.42,-1.54852422986e-05,0.947900204232,2.80813003921e-06,0.94018044346,-1.23362370733e-05,0.948626305477,-1.15295950802e-05,-0.00227386296228,-1.84694844377e-05,-0.00188740317514,-2.23807678921e-05,-0.00217867410925,-3.07784555092e-05,-0.0020112542633
2.5,-1.91111594809e-05,0.534818361506,-1.1622257486e-05,0.493008196601,-8.47711218964e-06,0.440536879412,-1.10616664921e-05,0.531346964946,-1.41890451847e-05,0.567235058247,-1.95637950441e-05,0.591587249011,-2.78848048254e-05,0.0157683734147
5.16,-9.84515888278e-06,0.926314094105,-1.54545499569e-05,0.812024578819,-1.1349593758e-05,0.932668870746,-1.24975689062e-05,0.266617978713,-1.99227184571e-05,0.0111164868875,-2.3443175789e-05,0.00558384926502,-3.11806828297e-05,0.00172774654727
2.66,-1.98264335011e-05,0.543088587271,-1.23697452487e-05,0.517049253285,-8.23597149788e-06,0.492293525572,-1.00502998272e-05,0.528207425397,-1.29536500037e-05,0.554374467231,-1.93459389458e-05,0.576392325837,-2.90274136492e-05,0.00573717019538
6.68,-1.48144729311e-05,0.948090742311,1.58684559574e-06,0.939969889695,-1.09303739399e-05,0.948757760332,-1.12827170228e-05,-0.00107468749001,-1.84943108537e-05,-0.00188354093556,-2.23997892936e-05,-0.00193090158125,-3.07860653893e-05,-0.00194315434138
7.26,-1.56947808357e-05,0.940950155455,2.7190387734e-06,0.947628572453,-1.24484076945e-05,0.94195438059,-1.16833445534e-05,-0.000723829776208,-1.85334686131e-05,-0.00122245526741,-2.24258818684e-05,-0.00175345881465,-3.07964975692e-05,-0.00193204553959
0.2,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
9.58,-1.52124554705e-05,0.944683243421,2.74238052382e-06,0.944152629925,-1.21278383065e-05,0.945628194033,-1.13651721763e-05,-0.00105475519767,-1.84638213339e-05,-0.00171111940792,-2.23713642227e-05,-0.00183982658441,-3.07746722263e-05,-0.00208702895121
0.96,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
4.58,-1.25716307831e-05,0.768704384227,-1.44037788277e-05,0.744290059051,-1.08948980924e-05,0.754216192242,-1.20373229181e-05,0.786129597569,-1.71335068119e-05,0.00124366721491,-2.28753888629e-05,-0.00200697931804,-3.0952047754e-05,-0.00211809878123
3.74,-1.5704147467e-05,0.649805701162,-1.31040521742e-05,0.628634286546,-1.01992535151e-05,0.619881534386,-1.16967767919e-05,0.631174262924,-1.43677158519e-05,0.652600185553,-2.1996544977e-05,-0.00261687379606,-3.10707677397e-05,-0.000566873361907
4.22,-1.42202875427e-05,0.762669680831,-1.33125930194e-05,0.738878772363,-1.00881078405e-05,0.752140434093,-1.1386837654e-05,0.771791890863,-1.51558344939e-05,0.0654741420665,-2.29707014893e-05,-0.00435779751634,-3.09917188885e-05,-0.00159734478999
