Time,Universal_Angle_1_0,Universal_Angle_2_0,Universal_Angle_1_1,Universal_Angle_2_1,Universal_Angle_1_2,Universal_Angle_2_2,Universal_Angle_1_3,Universal_Angle_2_3,Universal_Angle_1_4,Universal_Angle_2_4,Universal_Angle_1_5,Universal_Angle_2_5,Universal_Angle_1_6,Universal_Angle_2_6
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
24.78,-1.41357985843e-16,-0.466966133999,-2.82715971686e-16,0.12811956367,-1.41357985843e-16,-0.0794877900116,-0.0,0.0116231588447,-1.41357985843e-16,-0.437443310906,-4.24073957528e-16,0.916058133405,-0.0,-0.549924394569
24.32,-1.41357985843e-16,0.449493869995,-2.82715971686e-16,0.801861481677,-1.41357985843e-16,0.229857124418,-2.82715971686e-16,-0.422464078331,-1.41357985843e-16,-0.545437246701,-0.0,0.305731413431,-0.0,-0.324467683237
12.32,-4.24073957528e-16,-0.715664383848,-1.41357985843e-16,-0.180639811452,-0.0,0.11811664294,-0.0,-0.0256530163143,-1.41357985843e-16,-0.299345578379,-0.0,0.942040795907,-0.0,-0.391051670854
7.36,-1.41357985843e-16,-0.113326763352,-1.41357985843e-16,-0.0706830774593,-1.41357985843e-16,-0.563867378486,-1.41357985843e-16,-0.0301888237595,-2.82715971686e-16,-0.12838696036,-1.41357985843e-16,0.792631533118,-2.82715971686e-16,-0.136133970077
5.24,-1.41357985843e-16,-0.650046029862,-3.53394964607e-16,-0.374303304081,-2.82715971686e-16,-0.267650844568,-2.82715971686e-16,0.165003955903,-1.41357985843e-16,-0.325838615155,-0.0,0.952444071867,-0.0,-0.194103767756
25.22,-2.82715971686e-16,-0.568798445624,-2.82715971686e-16,-0.390842869606,-0.0,-0.73518658968,-1.41357985843e-16,0.149907656543,-1.41357985843e-16,-0.153510563175,-2.82715971686e-16,0.913907437125,-3.53394964607e-16,-0.436632780765
20.78,-1.41357985843e-16,0.293798208869,-2.82715971686e-16,0.75587192311,-1.41357985843e-16,0.621455351763,-3.53394964607e-16,-0.546585417032,-3.53394964607e-16,-0.714777132364,-0.0,0.422701960707,-1.41357985843e-16,-0.290442672762
9.16,-1.41357985843e-16,-0.125450605613,-0.0,0.08914625731,-2.12036978764e-16,-0.56030793382,-1.41357985843e-16,-0.114699906545,-0.0,-0.285635223295,-0.0,0.725988856164,-1.41357985843e-16,-0.147637997941
19.6,-0.0,-0.711529429623,-1.41357985843e-16,-0.34572325132,-0.0,-0.0701505843467,-1.41357985843e-16,0.0214954376705,-1.41357985843e-16,-0.278301547803,-1.41357985843e-16,0.954171719717,-2.82715971686e-16,-0.380727337042
