0.0,|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|
0.02,|[0.043388373911755845, -0.07818314824680303, 0.09749279121818238, -0.09749279121818233, 0.07818314824680288, -0.04338837391175562]|
0.04,|[0.042252787075376504, -0.07739349546238306, 0.097205472904132, -0.09776471429032708, 0.07896045500578688, -0.044517109220920316]|
0.06,|[0.04111052803410795, -0.07659162134785569, 0.09690280471906845, -0.09802119918076088, 0.07972529299358685, -0.04563881476248032]|
0.08,|[0.039961777163894624, -0.07577765252843904, 0.09658483445780673, -0.09826220538754625, 0.08047754143341822, -0.0467533134061274]|
0.1,|[0.03880671586581533, -0.07495171753924595, 0.09625161233153728, -0.0984876948530093, 0.081217081536532, -0.04786042915960606]|
0.12000000000000001,|[0.03764552653743927, -0.07411394680498555, 0.0959031909598966, -0.09869763196974961, 0.08194379652097328, -0.04895998719650534]|
0.14,|[0.036478392544021986, -0.07326447261936851, 0.09553962536265831, -0.0988919835862625, 0.08265757163002085, -0.05005181388386348]|
0.16,|[0.035305498189551233, -0.07240342912421593, 0.09516097295104466, -0.0990707190121749, 0.0833582941503111, -0.051135736809590354]|
0.18,|[0.034127028687641864, -0.0715309522882777, 0.09476729351866116, -0.09923381002309106, 0.084045853429635, -0.05221158480969071]|
0.19999999999999998,|[0.03294317013228981, -0.07064717988576005, 0.09435864923205374, -0.09938123086504978, 0.08472014089441193, -0.053279187995293714]|
0.21999999999999997,|[0.03175410946848453, -0.06975225147457034, 0.09393510462089243, -0.09951295825859112, 0.08538105006683461, -0.054338377779480335]|
0.23999999999999996,|[0.030560034462688696, -0.06884630837427906, 0.09349672656778119, -0.09962897140243261, 0.08602847658168318, -0.05538898690390512]|
0.25999999999999995,|[0.02936113367318821, -0.06792949364380348, 0.09304358429769632, -0.09972925197675399, 0.08666231820280579, -0.05643084946520826]|
0.27999999999999997,|[0.0281575964203155, -0.06700195205881813, 0.09257574936705554, -0.09981378414609007, 0.08728247483926271, -0.0574638009412137]|
0.3,|[0.026949612756554983, -0.06606383008889143, 0.09209329565241758, -0.09988255456183144, 0.0878888485611323, -0.05848767821690957]|
0.32,|[0.025737373436530205, -0.06511527587435749, 0.09159629933881674, -0.09993555236433214, 0.08848134361497388, -0.05950231961020375]|
0.34,|[0.02452106988688288, -0.06415643920292248, 0.09108483890773217, -0.09997276918462485, 0.08905986643895039, -0.060507564897458704]|
0.36000000000000004,|[0.02330089417604315, -0.06318747148601257, 0.09055899512469529, -0.0999941991457422, 0.08962432567760148, -0.0615032553387904]|
0.38000000000000006,|[0.022077038983900316, -0.06220852573486261, 0.09001885102653501, -0.09999983886364489, 0.09017463219626992, -0.06248923370313575]|
0.4000000000000001,|[0.020849697571376946, -0.06121975653635501, 0.08946449190826603, -0.09998968744775612, 0.09071069909517707, -0.06346534429308119]|
0.4200000000000001,|[0.01961906374990952, -0.06022132002860839, 0.08889600530961944, -0.09996374650110212, 0.09123244172314532, -0.06443143296944917]|
0.4400000000000001,|[0.018385331850844754, -0.05921337387632128, 0.08831348100121912, -0.09992202012005909, 0.09173977769096546, -0.06538734717563839]|
0.46000000000000013,|[0.017148696694751036, -0.058196077245876165, 0.08771701097040652, -0.09986451489370629, 0.09223262688440696, -0.0663329359617144]|
0.48000000000000015,|[0.015909353560655395, -0.05716959078020361, 0.08710668940671384, -0.09979123990278556, 0.09271091147686916, -0.0672680500082468]|
0.5000000000000001,|[0.01466749815520527, -0.05613407657341594, 0.08648261268699106, -0.09970220671826746, 0.0931745559416699, -0.06819254164988639]|
0.5200000000000001,|[0.013423326581765583, -0.05508969814521017, 0.08584487936018659, -0.0995974293995239, 0.09362348706397372, -0.06910626489868645]|
