0.0,|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|
0.02,|[0.0, -0.3909157412340149, -0.4874639560909118, -0.21694186955877912, 0.216941869558779, 0.4874639560909118, 0.39091574123401496]|
0.04,|[0.06266661678215213, -0.3487612573728512, -0.4975647912929556, -0.271691888897403, 0.15877054734242202, 0.4696755231044617, 0.4269052503341737]|
0.06,|[0.1243449435824274, -0.301106600143041, -0.49981873250551057, -0.32215716484724716, 0.09809531874954756, 0.4444800265480965, 0.4561622086157273]|
0.08,|[0.18406227634233896, -0.24870331195661102, -0.49419023372921533, -0.36754182986008843, 0.035873068380689536, 0.4122748144535704, 0.47822521636931575]|
0.1,|[0.24087683705085766, -0.19237782397246797, -0.48076805975207443, -0.4071301406571893, -0.026914921706064073, 0.37356778225407483, 0.49274632678286334]|
0.12000000000000001,|[0.29389262614623657, -0.13301842278333756, -0.4597638862757253, -0.440297765928369, -0.08927844739931838, 0.32896936296985624, 0.49949653327065735]|
0.14,|[0.34227355296434436, -0.07156124160555971, -0.4315089616631751, -0.4665216324097221, -0.15023399864472609, 0.2791829003148311, 0.4983693810440073]|
0.16,|[0.3852566213878946, -0.008975496899048552, -0.3964488829542376, -0.4853881740614591, -0.20882026998606576, 0.22499355654606035, 0.48938264596685566]|
0.18,|[0.42216396275100754, 0.053751796755262496, -0.3551365685340285, -0.49659985425140646, -0.26411332092654227, 0.1672559299859226, 0.4726780542197845]|
0.19999999999999998,|[0.4524135262330098, 0.1156313924649761, -0.308223538279735, -0.49997985808543555, -0.31524114702235684, 0.10688057749605726, 0.44851904719348434]|
0.21999999999999997,|[0.47552825814757677, 0.17568741204067134, -0.25644963870295306, -0.49547488088396735, -0.3613974319136958, 0.044819654451716685, 0.41728662686065127]|
0.23999999999999996,|[0.4911436253643443, 0.2329727361779123, -0.2006313751282372, -0.483155968828612, -0.4018542634153943, -0.017948101317291017, 0.379473347147278]|
0.25999999999999995,|[0.4990133642141358, 0.286583941094461, -0.14164903491637487, -0.4632173985214438, -0.43597361312693106, -0.08043280480684901, 0.3356755460630021]|
0.27999999999999997,|[0.4990133642141358, 0.3356755460630018, -0.08043280480684939, -0.4359736131269313, -0.46321739852144367, -0.14164903491637462, 0.2865839410944612]|
0.3,|[0.49114362536434436, 0.3794733471472777, -0.017948101317291177, -0.40185426341539443, -0.483155968828612, -0.20063137512823706, 0.23297273617791245]|
0.32,|[0.4755282581475768, 0.4172866268606513, 0.04481965445171675, -0.3613974319136958, -0.4954748808839674, -0.2564496387029531, 0.1756874120406713]|
0.34,|[0.45241352623300973, 0.44851904719348434, 0.10688057749605731, -0.3152411470223568, -0.49997985808543555, -0.3082235382797351, 0.11563139246497593]|
0.36000000000000004,|[0.4221639627510075, 0.4726780542197845, 0.16725592998592284, -0.264113320926542, -0.4965998542514064, -0.3551365685340287, 0.05375179675526222]|
0.38000000000000006,|[0.3852566213878946, 0.4893826459668557, 0.2249935565460606, -0.2088202699860655, -0.48538817406145907, -0.3964488829542377, -0.008975496899048726]|
0.4000000000000001,|[0.34227355296434425, 0.4983693810440073, 0.27918290031483134, -0.1502339986447258, -0.466521632409722, -0.4315089616631752, -0.07156124160555993]|
0.4200000000000001,|[0.2938926261462364, 0.4994965332706573, 0.32896936296985646, -0.0892784473993181, -0.4402977659283689, -0.4597638862757254, -0.1330184227833378]|
0.4400000000000001,|[0.2408768370508574, 0.4927463267828633, 0.373567782254075, -0.02691492170606379, -0.4071301406571891, -0.48076805975207454, -0.19237782397246833]|
0.46000000000000013,|[0.18406227634233865, 0.4782252163693157, 0.41227481445357056, 0.03587306838069004, -0.3675418298600881, -0.49419023372921544, -0.2487033119566114]|
0.48000000000000015,|[0.12434494358242698, 0.456162208615727, 0.4444800265480968, 0.09809531874954806, -0.32215716484724677, -0.49981873250551057, -0.3011066001430415]|
0.5000000000000001,|[0.0626666167821516, 0.4269052503341733, 0.469675523104462, 0.1587705473424227, -0.27169188889740237, -0.49756479129295555, -0.34876125737285163]|
0.5200000000000001,|[-3.8285686989269494e-16, 0.3909157412340147, 0.4874639560909119, 0.21694186955877945, -0.21694186955877864, -0.4874639560909117, -0.39091574123401523]|
0.5400000000000001,|[-0.06266661678215237, 0.348761257372851, 0.49756479129295567, 0.2716918888974031, -0.15877054734242185, -0.46967552310446165, -0.4269052503341738]|
0.5600000000000002,|[-0.12434494358242772, 0.3011066001430408, 0.49981873250551057, 0.32215716484724743, -0.09809531874954719, -0.44448002654809643, -0.45616220861572737]|
0.5800000000000002,|[-0.18406227634233938, 0.24870331195661063, 0.4941902337292153, 0.3675418298600887, -0.035873068380689155, -0.41227481445357006, -0.4782252163693159]|
0.6000000000000002,|[-0.24087683705085808, 0.19237782397246753, 0.48076805975207426, 0.4071301406571896, 0.026914921706064677, -0.37356778225407444, -0.49274632678286345]|
0.6200000000000002,|[-0.29389262614623707, 0.13301842278333698, 0.45976388627572506, 0.4402977659283693, 0.08927844739931898, -0.3289693629698558, -0.49949653327065735]|
0.6400000000000002,|[-0.3422735529643448, 0.07156124160555905, 0.43150896166317476, 0.46652163240972233, 0.15023399864472664, -0.2791829003148306, -0.49836938104400724]|
0.6600000000000003,|[-0.38525662138789496, 0.00897549689904806, 0.39644888295423725, 0.48538817406145923, 0.20882026998606612, -0.22499355654606001, -0.48938264596685555]|
0.6800000000000003,|[-0.42216396275100787, -0.0537517967552631, 0.3551365685340281, 0.4965998542514065, 0.26411332092654277, -0.167255929985922, -0.4726780542197842]|
0.7000000000000003,|[-0.45241352623301007, -0.11563139246497679, 0.3082235382797344, 0.49997985808543555, 0.31524114702235745, -0.10688057749605644, -0.44851904719348396]|
0.7200000000000003,|[-0.47552825814757704, -0.17568741204067212, 0.25644963870295234, 0.49547488088396724, 0.3613974319136964, -0.04481965445171587, -0.4172866268606508]|
