Time,Universal_Angle_1_0,Universal_Angle_2_0,Universal_Angle_1_1,Universal_Angle_2_1,Universal_Angle_1_2,Universal_Angle_2_2,Universal_Angle_1_3,Universal_Angle_2_3,Universal_Angle_1_4,Universal_Angle_2_4,Universal_Angle_1_5,Universal_Angle_2_5,Universal_Angle_1_6,Universal_Angle_2_6
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
3.5,-0.0,-0.0921391046248,-7.06789929214e-17,-0.285383082082,-7.06789929214e-17,-0.221663278433,-0.0,0.0130787874723,-1.41357985843e-16,0.215829833553,-1.41357985843e-16,0.273058634014,-0.0,-0.00611437982703
9.14,-1.41357985843e-16,-0.243716138282,-0.0,-0.249928478549,-1.41357985843e-16,-0.0875280414764,-7.06789929214e-17,0.128095269069,-0.0,0.284211794881,-7.06789929214e-17,0.0889771166937,-1.41357985843e-16,-0.040156668192
0.76,-1.06018489382e-16,0.169009854149,-7.06789929214e-17,-0.0784652318608,-0.0,-0.21881566149,-7.06789929214e-17,-0.270811271721,-0.0,-0.0488282397177,-0.0,0.222451849576,-1.41357985843e-16,0.0720097399702
7.04,-7.06789929214e-17,0.170294309179,-7.06789929214e-17,0.328467093995,-1.41357985843e-16,0.0996439815407,-7.06789929214e-17,-0.0493892215001,-7.06789929214e-17,-0.250329916644,-1.41357985843e-16,-0.174787367278,-0.0,0.0235875620584
8.2,-7.06789929214e-17,0.255415667631,-7.06789929214e-17,0.056975883188,-1.41357985843e-16,-0.124540285753,-7.06789929214e-17,-0.254578042112,-7.06789929214e-17,-0.105196364078,-7.06789929214e-17,0.157512659253,-7.06789929214e-17,0.0895553306166
7.62,-7.06789929214e-17,-0.282296130481,-0.0,-0.185580336479,-7.06789929214e-17,-0.0351592009755,-7.06789929214e-17,0.178315558223,-7.06789929214e-17,0.270047125274,-7.06789929214e-17,0.00277846768823,-1.06018489382e-16,-0.0591896701532
3.58,-1.06018489382e-16,-0.0121768780616,-1.76697482304e-16,-0.207696726796,-7.06789929214e-17,-0.282748305193,-7.06789929214e-17,-0.0632530573732,-0.0,0.162069259208,-7.06789929214e-17,0.318874467012,-1.06018489382e-16,0.0175902984451
2.68,-1.41357985843e-16,0.179263239044,-7.06789929214e-17,0.327608614973,-0.0,0.0920311417212,-7.06789929214e-17,-0.0548378929955,-7.06789929214e-17,-0.255588232696,-0.0,-0.167647229323,-7.06789929214e-17,0.0193679948994
6.1,-7.06789929214e-17,-0.294159051141,-1.41357985843e-16,-0.11853854881,-1.76697482304e-16,0.0288722654364,-0.0,0.240719206876,-1.41357985843e-16,0.212848773425,-7.06789929214e-17,-0.0746126129753,-1.06018489382e-16,-0.0799517108874
4.74,-0.0,-0.277769096244,-7.06789929214e-17,-0.206928821204,-7.06789929214e-17,-0.0436434186313,-7.06789929214e-17,0.165134976103,-7.06789929214e-17,0.2777038624,-0.0,0.0205348130154,-1.06018489382e-16,-0.0570501861202
8.42,-1.41357985843e-16,0.234298270219,-7.06789929214e-17,0.275447310531,-7.06789929214e-17,0.0524890143642,-1.41357985843e-16,-0.0988250277175,-7.06789929214e-17,-0.269997739524,-2.12036978764e-16,-0.0920497717049,-3.53394964607e-17,0.0314714718903
2.5,-7.06789929214e-17,0.285770078465,-0.0,0.156896637994,-7.06789929214e-17,-0.0365041598457,-0.0,-0.207882053277,-7.06789929214e-17,-0.197008957363,-7.06789929214e-17,0.0464706382255,-7.06789929214e-17,0.0535171391228
5.16,-1.41357985843e-16,0.114479836584,-7.06789929214e-17,-0.0832018653867,-0.0,-0.237140995562,-1.06018489382e-16,-0.197854936087,-0.0,0.036829210788,-7.06789929214e-17,0.29473786403,-7.06789929214e-17,0.0683934769439
2.66,-7.06789929214e-17,0.199262236216,-7.06789929214e-17,0.31552213467,-7.06789929214e-17,0.0740992818755,-1.41357985843e-16,-0.0661773133886,-0.0,-0.263114306871,-1.41357985843e-16,-0.14121073607,-1.41357985843e-16,0.0155855988053
6.68,-0.0,0.185265622268,-7.06789929214e-17,-0.0163090985601,-7.06789929214e-17,-0.180236815162,-0.0,-0.247867872763,-7.06789929214e-17,-0.026393608917,-7.06789929214e-17,0.235242913396,-0.0,0.0891412927096
7.26,-0.0,-0.0495179512153,-7.06789929214e-17,0.170654017428,-1.41357985843e-16,0.246969390504,-0.0,0.151750014733,-7.06789929214e-17,-0.0828901739277,-1.41357985843e-16,-0.341147525724,-1.41357985843e-16,-0.0490987555676
0.2,-1.41357985843e-16,-0.111089388732,-7.06789929214e-17,-0.0889249681812,-7.06789929214e-17,-0.0680656843624,-0.0,0.0342030287629,-1.41357985843e-16,0.0391829909257,-7.06789929214e-17,0.060442364843,-7.06789929214e-17,-0.027628746742
9.58,-7.06789929214e-17,0.188750591956,-0.0,-0.0122333359473,-7.06789929214e-17,-0.186657131006,-7.06789929214e-17,-0.248701064418,-7.06789929214e-17,-0.0339155617057,-7.06789929214e-17,0.232652008706,-1.41357985843e-16,0.0858788944749
0.96,-7.06789929214e-17,0.276387396111,-7.06789929214e-17,0.121028838237,-7.06789929214e-17,-0.0712956476811,-0.0,-0.23258412106,-7.06789929214e-17,-0.246952494427,-7.06789929214e-17,0.00726153580108,-1.41357985843e-16,0.0714962437533
4.58,-0.0,-0.265940431819,-7.06789929214e-17,-0.0480951035141,-7.06789929214e-17,0.096633679958,-7.06789929214e-17,0.27035373166,-7.06789929214e-17,0.130341295372,-1.41357985843e-16,-0.16080955027,-0.0,-0.0933940488916
