Time,Universal_Angle_1_0,Universal_Angle_2_0,Universal_Angle_1_1,Universal_Angle_2_1,Universal_Angle_1_2,Universal_Angle_2_2,Universal_Angle_1_3,Universal_Angle_2_3,Universal_Angle_1_4,Universal_Angle_2_4,Universal_Angle_1_5,Universal_Angle_2_5,Universal_Angle_1_6,Universal_Angle_2_6,Universal_Angle_1_7,Universal_Angle_2_7,Universal_Angle_1_8,Universal_Angle_2_8,Universal_Angle_1_9,Universal_Angle_2_9,Universal_Angle_1_10,Universal_Angle_2_10,Universal_Angle_1_11,Universal_Angle_2_11,Universal_Angle_1_12,Universal_Angle_2_12,Universal_Angle_1_13,Universal_Angle_2_13,Universal_Angle_1_14,Universal_Angle_2_14,Universal_Angle_1_15,Universal_Angle_2_15
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
3.5,-1.77935327141e-05,-0.597362215181,-1.20589713021e-05,-0.563074047115,1.52981378904e-05,-0.495690247386,1.46529463534e-05,-0.450604740045,-4.35443886921e-06,-0.457695970124,-1.45176475689e-05,-0.516318345093,-1.68890262707e-06,-0.595236213358,2.12003101062e-05,0.431510354898,1.59982085283e-05,0.1618659718,8.03271055284e-06,-0.133481538484,-6.72213706879e-07,-0.317381978261,-5.14687836178e-06,-0.0768809042697,-7.53972796993e-06,0.220746467826,-8.58113726352e-06,0.45914687127,-7.2378274195e-06,0.55036336299,-2.82949174678e-06,0.184888882208
9.14,-2.05369009694e-06,-0.59525755309,-3.49640072942e-05,-0.637207671923,2.29196507032e-05,-0.605508637017,6.65381953929e-05,-0.541741432017,9.17696203883e-06,-0.508444948123,-5.3671038279e-06,-0.534628543647,3.43773993231e-05,-0.608597663491,5.65478317086e-05,0.404994191623,0.000112782136297,0.357752743433,1.2981969207e-05,-0.0200799044848,-4.25389151334e-05,-0.338755322058,-5.63589282217e-05,-0.490833752854,-7.73909728567e-05,-0.17808171141,-8.58255392507e-05,0.186340906491,-7.36110734717e-05,0.48772454867,-2.66498571494e-05,0.419201381783
0.76,-1.62099303684e-06,-0.537043997723,-1.32893503403e-06,-0.488510362214,3.2271482102e-06,-0.45165605409,4.06382183745e-06,-0.447293915839,1.75316015983e-06,-0.480332154429,1.46951300259e-07,-0.539069766278,3.00773682676e-06,-0.591287541699,9.67640389417e-06,0.47378897884,2.1885349337e-05,-0.0475509734677,1.50186361313e-05,-0.0505534423814,7.08387417e-06,-0.0491223203946,9.91903241871e-08,-0.0432835785169,-4.27924249201e-06,-0.0339291306645,-5.42987144993e-06,-0.0227275233759,-3.94115996127e-06,-0.011740136032,-1.38944393039e-06,-0.003361482332
7.04,-7.22207666242e-06,-0.601800797318,-2.61981091097e-05,-0.623476738364,2.76574692876e-05,-0.595134037112,4.77283335719e-05,-0.543403659327,3.69336226797e-06,-0.511496481986,-8.75169653454e-06,-0.521833008345,2.42164951263e-05,-0.567985268764,4.03398895931e-05,0.481771986326,3.58018962961e-05,0.125091629122,-2.97261584379e-06,0.356295708022,-2.48252866265e-05,0.103813435888,-2.2831960765e-05,-0.20818692463,-2.44979243221e-05,-0.482990778631,-2.68550032667e-05,-0.518155252347,-2.38370884971e-05,-0.173274278984,-1.00969630597e-05,0.23623050117
8.2,-4.75910316941e-06,-0.60270352581,-3.19574156416e-05,-0.621577958163,2.29975707137e-05,-0.595320292945,5.19411726883e-05,-0.54735151569,-2.6965706723e-06,-0.515562049875,-1.67222787708e-05,-0.518679931796,2.6228085538e-05,-0.550491600074,5.8837173591e-05,0.517277291178,6.61302095115e-05,-0.0311620254286,-5.77244402225e-06,0.296013965011,-4.65330845437e-05,0.283045722763,-5.08405510007e-05,-0.0620703391007,-5.87987227728e-05,-0.363967006354,-6.41247515223e-05,-0.57758872184,-5.40110212139e-05,-0.400121759815,-2.06244333592e-05,0.037204332358
7.62,-5.92731008026e-06,-0.602218515975,-2.90182966582e-05,-0.622720175533,2.55076596373e-05,-0.595929147465,4.99213422504e-05,-0.546382076129,7.64680412734e-07,-0.514515030142,-1.26718821497e-05,-0.520886091942,2.46349685432e-05,-0.558942137707,4.79720809755e-05,0.501007785834,4.86217682092e-05,0.0464865357357,-4.70858300307e-06,0.342057535407,-3.44928782581e-05,0.191166681416,-3.46175441354e-05,-0.138339610657,-3.8630979494e-05,-0.426892653502,-4.19765325343e-05,-0.568161739094,-3.56637745098e-05,-0.287167337869,-1.42294581955e-05,0.136701494529
3.58,-1.65921751011e-05,-0.588635200543,-1.12955687176e-05,-0.558009909708,1.62653344195e-05,-0.497889508779,1.52652824054e-05,-0.454237163609,-3.55857670802e-06,-0.455026564127,-1.29999200146e-05,-0.506389243942,-8.36132544985e-07,-0.59131850019,1.99235909581e-05,0.407083673808,1.44505660657e-05,0.346238934509,8.01930517528e-06,0.113650027572,5.3185990122e-07,-0.124555786472,-3.09991016235e-06,-0.345355840105,-5.5118721923e-06,-0.169780163053,-6.64776966072e-06,0.0748041574164,-5.73295066728e-06,0.359961406299,-2.17346299035e-06,0.470249657192
2.68,-1.19268692373e-05,-0.543813240643,-7.39041883523e-06,-0.503239630939,9.46385031416e-06,-0.470110939732,9.01603679997e-06,-0.461965880732,-3.00002004177e-06,-0.482658679407,-9.94073773026e-06,-0.522206970195,-7.82174956007e-07,-0.557674261527,1.70236009562e-05,0.507223855254,1.80638822657e-05,-0.000116527445421,1.07182986473e-05,2.94529531874e-05,3.10006305029e-06,0.000155447104291,-3.1030700697e-06,0.000246519163468,-6.53495118444e-06,0.00102861466277,-6.79640873253e-06,0.00114443445147,-4.5989273112e-06,0.000505154693523,-1.57227882483e-06,7.96503839224e-05
6.1,-1.20101019021e-05,-0.587372108225,-2.34102575565e-05,-0.597534726165,2.64104089352e-05,-0.586293357248,3.63710914893e-05,-0.551859925475,-4.208310289e-06,-0.507454636178,-1.57654547129e-05,-0.475105054313,1.75069967837e-05,-0.474594130315,3.55416444181e-05,0.57301785856,2.06298664184e-05,-0.387450133858,1.53419739008e-06,-0.15354882204,-1.01487632359e-05,0.122019898719,-8.30960671405e-06,0.373515817079,-1.0516710499e-05,0.234300578099,-1.42544077193e-05,-0.0408387329623,-1.50386808628e-05,-0.337580681635,-6.73262236965e-06,-0.487676673728
